contrib_score,target_salary
1,22000000.0
0,21000000.0
1,20500000.0
1,20000000.0
1,19500000.0
1,18870000.0
1,18870000.0
1,18000000.0
1,17000000.0
1,16000000.0
1,15280000.0
1,15280000.0
1,15280000.0
1,15280000.0
1,15210000.0
1,15210000.0
1,15210000.0
1,15210000.0
0,15000000.0
1,12500000.0
1,12500000.0
1,12500000.0
1,12500000.0
1,12776400.0
1,12776400.0
1,12776400.0
1,12776400.0
1,11250000.0
1,11000000.0
1,11000000.0
1,10000000.0
1,10000000.0
1,10000000.0
0,10000000.0
1,10000000.0
0,9200000.0
1,8800000.0
1,8000000.0
1,7550000.0
1,7550000.0
1,7000000.0
1,6600000.0
1,6000000.0
1,6000000.0
0,5600000.0
1,5500000.0
1,5400000.0
0,5200000.0
1,5000000.0
1,5000000.0
1,5000000.0
1,5000000.0
0,4900000.0
1,4720000.0
1,4720000.0
1,4700000.0
1,4510000.0
1,4500000.0
1,4400000.0
1,4200000.0
1,4200000.0
1,4200000.0
0,4000000.0
0,4000000.0
0,4000000.0
0,4000000.0
1,4000000.0
1,4000000.0
0,4000000.0
1,4000000.0
1,4000000.0
1,3960000.0
1,3830000.0
0,3800000.0
1,3800000.0
1,3780000.0
1,3780000.0
1,3600000.0
0,3500000.0
1,3500000.0
1,3500000.0
0,3500000.0
1,3500000.0
1,3500000.0
0,3470000.0
0,3470000.0
0,3470000.0
0,3470000.0
0,3470000.0
0,3470000.0
0,3470000.0
0,3470000.0
1,3400000.0
1,3300000.0
1,3300000.0
0,3200000.0
1,3200000.0
1,3200000.0
1,3200000.0
0,3150000.0
1,3150000.0
1,3130000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,3000000.0
1,2900000.0
1,2900000.0
0,2880000.0
0,2880000.0
1,2880000.0
1,2880000.0
1,2880000.0
1,2830000.0
1,2830000.0
0,2830000.0
1,2830000.0
1,2830000.0
0,2800000.0
1,2750000.0
1,2700000.0
1,2600000.0
0,2600000.0
0,2600000.0
1,2570000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2500000.0
1,2470000.0
0,2450000.0
0,2450000.0
0,2450000.0
0,2450000.0
0,2410000.0
0,2410000.0
0,2410000.0
0,2410000.0
0,2400000.0
0,2300000.0
1,2300000.0
1,2260000.0
1,2260000.0
1,2260000.0
1,2160000.0
1,2100000.0
0,2100000.0
0,2100000.0
1,2100000.0
1,2100000.0
1,2100000.0
1,2080000.0
0,2080000.0
1,2070000.0
1,2040000.0
0,2040000.0
1,2040000.0
1,2000000.0
1,2000000.0
1,2000000.0
1,2000000.0
0,2000000.0
0,2000000.0
1,1990000.0
1,1980000.0
1,1980000.0
1,1980000.0
1,1980000.0
1,1970000.0
1,1900000.0
0,1900000.0
1,1890000.0
1,1890000.0
1,1890000.0
0,1890000.0
0,1890000.0
1,2050000.0
1,2050000.0
0,2050000.0
0,2050000.0
0,1890000.0
1,1880000.0
1,1830000.0
0,1830000.0
1,1800000.0
1,1800000.0
0,1790000.0
1,1750000.0
1,1740000.0
1,1700000.0
0,1700000.0
1,1700000.0
1,1700000.0
0,1700000.0
1,1700000.0
1,1700000.0
1,1700000.0
0,1700000.0
1,1700000.0
1,1700000.0
1,1680000.0
1,1660000.0
1,1640000.0
1,1630000.0
1,1620000.0
1,1610000.0
1,1600000.0
0,1600000.0
1,1600000.0
1,1600000.0
1,1600000.0
1,1600000.0
1,1600000.0
0,1600000.0
0,1600000.0
1,1600000.0
1,1560000.0
1,1500000.0
1,1500000.0
1,1500000.0
1,1500000.0
1,1500000.0
1,1500000.0
1,1500000.0
1,1500000.0
0,1500000.0
0,1500000.0
1,1500000.0
1,1500000.0
1,1470000.0
0,1440000.0
0,1400000.0
0,1400000.0
0,1400000.0
0,1380000.0
1,1320000.0
1,1310000.0
1,1300000.0
1,1300000.0
1,1300000.0
0,1250000.0
0,1240000.0
1,1230000.0
0,1230000.0
1,1220000.0
1,1200000.0
0,1200000.0
1,1200000.0
0,1200000.0
0,1200000.0
1,1200000.0
1,1200000.0
1,1190000.0
1,1150000.0
1,1140000.0
1,1140000.0
1,1140000.0
1,1140000.0
0,1140000.0
1,1140000.0
1,1140000.0
1,1120000.0
0,1100000.0
0,1100000.0
0,1100000.0
0,1100000.0
0,1100000.0
0,1100000.0
0,1100000.0
0,1100000.0
1,1080000.0
1,1080000.0
0,1050000.0
0,1050000.0
1,1040000.0
0,1040000.0
1,1020000.0
1,1020000.0
1,1020000.0
1,1020000.0
0,1020000.0
1,1000000.0
1,1000000.0
1,1000000.0
0,1000000.0
1,1000000.0
1,1000000.0
1,990000.0
0,990000.0
1,970000.0
1,960000.0
1,960000.0
1,960000.0
0,950000.0
1,950000.0
1,950000.0
0,950000.0
0,940000.0
1,940000.0
0,940000.0
1,940000.0
0,940000.0
1,940000.0
1,940000.0
1,920000.0
1,920000.0
1,920000.0
1,910000.0
0,900000.0
1,900000.0
0,900000.0
0,900000.0
1,900000.0
0,900000.0
0,890000.0
1,890000.0
1,880000.0
1,880000.0
0,880000.0
0,870000.0
1,860000.0
1,850000.0
1,850000.0
1,850000.0
1,840000.0
1,840000.0
1,840000.0
1,840000.0
0,840000.0
1,810000.0
0,810000.0
1,800000.0
0,800000.0
1,800000.0
0,780000.0
1,780000.0
1,780000.0
0,780000.0
1,760000.0
1,760000.0
1,760000.0
1,750000.0
0,750000.0
0,750000.0
1,750000.0
1,750000.0
1,750000.0
1,750000.0
1,750000.0
0,740000.0
1,740000.0
1,740000.0
1,720000.0
0,720000.0
1,720000.0
1,720000.0
1,720000.0
