Player,Touches,Att Pen,Att,Succ,Carries,TotDist,Mis,Dis,Rec
Marvin Ducksch,1251,149,38,15,576,2035,63,16,762
Ondrej Duda,360,14,21,9,220,1157,16,13,241
Julien Duranville,20,0,3,3,16,231,1,0,17
Maximilian Eggestein,1098,34,16,9,494,2396,21,23,581
Lilian Egloff,113,14,5,3,62,325,10,5,68
Kingsley Ehizibue,33,0,1,0,15,66,2,0,18
Julian Eitschberger,2,0,0,0,0,0,0,0,0
Chidera Ejuke,434,32,97,47,303,2533,32,20,308
Nico Elvedi,2492,27,3,1,1517,7687,8,3,1748
Wataru Endo,1873,55,55,28,994,4470,55,52,1217
Arne Engels,739,5,9,4,322,1403,7,8,399
Tjark Ernst,42,0,0,0,16,66,1,0,11
Kimberly Ezekwem,9,0,0,0,5,51,0,0,4
Ralf Fährmann,485,0,0,0,270,1391,0,0,221
Ohis Felix Uduokhai,927,12,12,5,470,2443,10,5,486
Edimilson Fernandes,1485,6,25,17,768,3634,15,14,739
Kilian Fischer,327,7,6,3,160,726,4,1,177
Mark Flekken,1550,0,3,3,942,5638,0,0,739
Florian Flick,244,1,2,1,94,445,3,2,99
Emil Forsberg,672,28,29,15,430,1978,28,12,497
Philipp Förster,694,23,20,6,312,1670,23,15,387
Timothy Fosu-Mensah,138,3,1,0,42,174,3,1,87
Raphael Framberger,88,0,1,0,26,114,3,3,32
Bartol Franjić,114,3,2,1,51,222,6,0,62
Oscar Fraulo,16,0,1,1,7,75,0,0,10
Michael Frey,347,56,20,5,201,786,40,12,280
Marco Friedl,2074,7,16,10,1186,5378,19,9,1242
Marvin Friedrich,1094,21,2,2,650,2870,6,2,789
Jeremie Frimpong,1621,122,165,85,909,7276,88,49,1009
Chris Führich,948,69,106,50,575,4471,36,29,641
Angelo Fulgini,320,14,25,8,199,800,12,7,228
Niclas Füllkrug,1227,131,60,31,668,2854,74,51,1005
Cristian Gamboa,830,2,14,6,339,1516,10,4,415
Silvère Ganvoula M'Boussy,118,18,7,3,51,246,7,1,92
Dario Gebuhr,13,0,0,0,6,31,0,0,11
Dennis Geiger,1027,7,16,9,525,2874,22,8,582
Yannick Gerhardt,856,55,16,4,468,2089,22,10,557
Niko Gießelmann,889,22,14,4,349,1310,17,6,416
Rafał Gikiewicz,1221,0,0,0,713,4039,2,0,552
Matthias Ginter,2230,46,4,2,1305,7344,12,4,1412
Serge Gnabry,1149,146,64,28,747,4275,51,26,880
Jacek Góralski,59,0,0,0,25,123,1,0,29
Leon Goretzka,1272,43,17,9,646,3087,20,11,817
Mario Götze,1820,78,75,25,1043,4368,56,46,1325
Jeffrey Gouweleeuw,1829,23,19,13,912,4873,25,7,946
Ryan Gravenberch,483,11,19,11,301,1632,21,13,344
Michael Gregoritsch,793,130,38,11,375,1339,50,22,601
Leo Greiml,241,1,1,1,135,598,3,0,143
