age,mp,starts,min,90s,gls,ast,g+a,crdy,crdr,xg,prgc,prgp,prgr,touches,att_pen,att,succ,carries,totdist,mis,dis,rec,position_defence,position_forward,position_goalkeeper,position_midfield,contrib_score,contrib_score,target_salary,country_of_origin_ALG,country_of_origin_ANG,country_of_origin_ARG,country_of_origin_ARM,country_of_origin_AUS,country_of_origin_AUT,country_of_origin_BEL,country_of_origin_BFA,country_of_origin_BIH,country_of_origin_BRA,country_of_origin_BUL,country_of_origin_CAN,country_of_origin_CGO,country_of_origin_CHI,country_of_origin_CIV,country_of_origin_CMR,country_of_origin_COD,country_of_origin_COL,country_of_origin_COM,country_of_origin_CPV,country_of_origin_CRC,country_of_origin_CRO,country_of_origin_CTA,country_of_origin_CZE,country_of_origin_DEN,country_of_origin_ECU,country_of_origin_EGY,country_of_origin_ENG,country_of_origin_EQG,country_of_origin_ESP,country_of_origin_FIN,country_of_origin_FRA,country_of_origin_GAB,country_of_origin_GAM,country_of_origin_GEO,country_of_origin_GER,country_of_origin_GHA,country_of_origin_GLP,country_of_origin_GNB,country_of_origin_GRE,country_of_origin_GRN,country_of_origin_GUI,country_of_origin_HON,country_of_origin_HUN,country_of_origin_IRL,country_of_origin_IRN,country_of_origin_ISL,country_of_origin_ISR,country_of_origin_ITA,country_of_origin_JAM,country_of_origin_JPN,country_of_origin_KOR,country_of_origin_KVX,country_of_origin_LUX,country_of_origin_MAR,country_of_origin_MEX,country_of_origin_MKD,country_of_origin_MLI,country_of_origin_MNE,country_of_origin_MOZ,country_of_origin_MTQ,country_of_origin_NED,country_of_origin_NGA,country_of_origin_NIR,country_of_origin_NOR,country_of_origin_NZL,country_of_origin_PAR,country_of_origin_PER,country_of_origin_PHI,country_of_origin_POL,country_of_origin_POR,country_of_origin_ROU,country_of_origin_RUS,country_of_origin_SCO,country_of_origin_SEN,country_of_origin_SLE,country_of_origin_SRB,country_of_origin_SUI,country_of_origin_SUR,country_of_origin_SVK,country_of_origin_SVN,country_of_origin_SWE,country_of_origin_TOG,country_of_origin_TUN,country_of_origin_TUR,country_of_origin_UKR,country_of_origin_URU,country_of_origin_USA,country_of_origin_UZB,country_of_origin_Unknown,country_of_origin_VEN,country_of_origin_WAL,country_of_origin_ZAM,country_of_origin_ZIM,team_Arsenal,team_Aston Villa,team_Atalanta,team_Athletic Club,team_Atlético Madrid,team_Augsburg,team_Barcelona,team_Bayern Munich,team_Betis,team_Bochum,team_Bologna,team_Bournemouth,team_Brentford,team_Brighton,team_Celta Vigo,team_Chelsea,team_Cremonese,team_Crystal Palace,team_Cádiz,team_Dortmund,team_Eint Frankfurt,team_Elche,team_Empoli,team_Espanyol,team_Everton,team_Fiorentina,team_Freiburg,team_Fulham,team_Getafe,team_Girona,team_Gladbach,team_Hellas Verona,team_Hertha BSC,team_Hoffenheim,team_Inter,team_Juventus,team_Köln,team_Lazio,team_Lecce,team_Leeds United,team_Leicester City,team_Leverkusen,team_Liverpool,team_Mainz 05,team_Mallorca,team_Manchester City,team_Manchester Utd,team_Milan,team_Monza,team_Napoli,team_Newcastle Utd,team_Nott'ham Forest,team_Osasuna,team_RB Leipzig,team_Rayo Vallecano,team_Real Madrid,team_Real Sociedad,team_Roma,team_Salernitana,team_Sampdoria,team_Sassuolo,team_Schalke 04,team_Sevilla,team_Southampton,team_Spezia,team_Stuttgart,team_Torino,team_Tottenham,team_Udinese,team_Union Berlin,team_Valencia,team_Valladolid,team_Villarreal,team_Werder Bremen,team_West Ham,team_Wolfsburg,team_Wolves,league_La Liga,league_Premier League,league_Serie A,position_Forward,position_Goalkeeper,position_Midfield,position_Unknown,age_category_seniors,age_category_young
0.28,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8684210526315789,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.006349206349206349,0.0,0.37734758740248486,0.0,0.006535947712418301,0.008928571428571428,0.3090671316477768,0.34198071866783525,0.007194244604316547,0.010869565217391304,0.20959010054137667,0.0,0.0,1.0,0.0,0.0,0.0,0.011472785485592316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5199999999999999,0.43243243243243246,0.43243243243243246,0.43243243243243246,0.18684210526315786,0.0,0.0,0.0,0.0,0.0,0.003521126760563381,0.12217194570135748,0.06031746031746032,0.07307692307692308,0.13233169604160647,0.029900332225913623,0.04575163398692811,0.05357142857142857,0.12467306015693112,0.15950920245398773,0.07194244604316546,0.05434782608695652,0.10672853828306265,1.0,0.0,0.0,0.0,0.0,0.0,0.0288153681963714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.01056338028169014,0.0,0.0,0.0019230769230769232,0.0020225368390638545,0.006644518272425249,0.0,0.0,0.0008718395815170009,0.0005258545135845749,0.007194244604316547,0.0,0.0019334880123743235,0.0,1.0,0.0,0.0,0.0,0.0,0.056280683030949845,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.24,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.12368421052631579,0.027777777777777776,0.0,0.022727272727272728,0.0,0.0,0.003521126760563381,0.0,0.01904761904761905,0.011538461538461539,0.07165559086969084,0.009966777408637873,0.0032679738562091504,0.008928571428571428,0.06146469049694856,0.04645048203330412,0.0,0.0,0.05723124516627997,1.0,0.0,0.0,0.0,1.0,1.0,0.002934898612593383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.36,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7368421052631579,0.0,0.125,0.045454545454545456,0.7857142857142857,0.3333333333333333,0.028169014084507046,0.12669683257918554,0.4095238095238095,0.0,0.5119907541173072,0.03322259136212625,0.026143790849673203,0.07142857142857142,0.4707933740191805,0.5413672217353199,0.04316546762589928,0.010869565217391304,0.44392884764114465,1.0,0.0,0.0,0.0,1.0,1.0,0.0528281750266809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.31999999999999995,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.034210526315789476,0.0,0.0,0.0,0.0,0.3333333333333333,0.007042253521126762,0.013574660633484163,0.01904761904761905,0.013461538461538462,0.08379081190407398,0.10631229235880399,0.0784313725490196,0.10714285714285714,0.07628596338273758,0.0733567046450482,0.1510791366906475,0.18478260869565216,0.07347254447022429,0.0,1.0,0.0,0.0,0.0,0.0,0.00560298826040555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.4,0.972972972972973,0.972972972972973,0.972972972972973,0.9131578947368422,0.41666666666666663,0.375,0.4772727272727273,0.2857142857142857,0.0,0.5809859154929577,0.22624434389140274,0.12380952380952381,0.3769230769230769,0.2678416642588847,0.5448504983388704,0.21241830065359477,0.1607142857142857,0.2070619006102877,0.2207712532865907,0.5899280575539568,0.42391304347826086,0.26450116009280744,0.0,1.0,0.0,0.0,1.0,1.0,0.12121131270010674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.28,0.48648648648648657,0.48648648648648657,0.48648648648648657,0.36922609400324147,0.04675400684314785,0.0756179092382496,0.06575069986739356,0.19903334105116924,0.0410588870880605,0.06223463145159449,0.09723373204162603,0.14980062257209745,0.08900074803640445,0.2198061801870062,0.09110097621650144,0.07574601963962246,0.09445184070386664,0.18616230205214362,0.1963336491490731,0.13644287163462102,0.12175850891410046,0.18720848829440662,1.0,0.0,0.0,0.0,1.0,1.0,0.0144076840981857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5199999999999999,0.972972972972973,0.972972972972973,0.972972972972973,0.75,0.08333333333333333,0.5,0.25,0.21428571428571427,0.0,0.08450704225352113,0.4570135746606335,0.24761904761904763,0.44230769230769235,0.4299335452181451,0.20598006644518274,0.16993464052287582,0.20535714285714285,0.3526591107236269,0.4278702892199825,0.3597122302158274,0.21739130434782608,0.3646558391337974,1.0,0.0,0.0,0.0,1.0,1.0,0.08511205976520812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31999999999999995,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.23947368421052628,0.0,0.0,0.0,0.21428571428571427,0.0,0.014084507042253523,0.027149321266968326,0.12380952380952381,0.009615384615384616,0.15082346142733316,0.009966777408637873,0.00980392156862745,0.017857142857142856,0.12554489973844812,0.11226993865030675,0.05035971223021583,0.06521739130434782,0.12180974477958237,0.0,0.0,0.0,1.0,0.0,0.0,0.029082177161152616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
