,player,country_of_origin,team,league,position,age_category
1352,Romelu Lukaku,BEL,Inter,Serie A,Forward,middle_age
1353,Paul Pogba,FRA,Juventus,Serie A,Midfield,middle_age
1354,Edin Džeko,BIH,Inter,Serie A,Forward,seniors
1355,Hakan Çalhanoğlu,TUR,Inter,Serie A,Midfield,middle_age
1356,Nicolò Barella,ITA,Inter,Serie A,Midfield,young
1357,Gleison Bremer,BRA,Juventus,Serie A,Defence,young
1358,Federico Chiesa,ITA,Juventus,Serie A,Defence,young
1359,Juan Cuadrado,COL,Juventus,Serie A,Defence,seniors
1360,Adrien Rabiot,FRA,Juventus,Serie A,Midfield,middle_age
1361,Leandro Paredes,ARG,Juventus,Serie A,Midfield,middle_age
1362,Ángel Di María,ARG,Juventus,Serie A,Forward,seniors
1363,Ciro Immobile,ITA,Lazio,Serie A,Forward,seniors
1364,Paulo Dybala,ARG,Roma,Serie A,Midfield,middle_age
1365,Stefan de Vrij,NED,Inter,Serie A,Defence,middle_age
1366,Gianluca Mancini,ITA,Roma,Serie A,Defence,middle_age
1367,Lorenzo Pellegrini,ITA,Roma,Serie A,Midfield,middle_age
1368,Stephan El Shaarawy,ITA,Roma,Serie A,Defence,middle_age
1369,Joaquín Correa,ARG,Inter,Serie A,Forward,middle_age
1370,Daniele Rugani,ITA,Juventus,Serie A,Defence,middle_age
1371,Piotr Zieliński,POL,Napoli,Serie A,Midfield,middle_age
1372,Georginio Wijnaldum,NED,Roma,Serie A,Midfield,middle_age
1373,Sergiño Dest,USA,Milan,Serie A,Defence,young
1374,Sergej Milinković-Savić,SRB,Lazio,Serie A,Midfield,middle_age
1375,Tammy Abraham,ENG,Roma,Serie A,Forward,young
1376,Alexis Sánchez,CHI,Inter,Serie A,Forward,seniors
1377,Nikola Milenković,SRB,Fiorentina,Serie A,Defence,young
1378,Alessio Romagnoli,ITA,Lazio,Serie A,Defence,middle_age
1379,Leonardo Spinazzola,ITA,Roma,Serie A,Defence,middle_age
1380,Milan Škriniar,SVK,Inter,Serie A,Defence,middle_age
1381,Manuel Locatelli,ITA,Juventus,Serie A,Midfield,young
1382,Domenico Berardi,ITA,Sassuolo,Serie A,Forward,middle_age
1383,Victor Osimhen,NGA,Napoli,Serie A,Forward,young
1384,Pablo Marí,ESP,Monza,Serie A,Defence,middle_age
1385,Alessandro Bastoni,ITA,Inter,Serie A,Defence,young
1386,Nemanja Matić,SRB,Roma,Serie A,Midfield,seniors
1387,Divock Origi,BEL,Milan,Serie A,Forward,middle_age
1388,Theo Hernández,FRA,Milan,Serie A,Defence,young
1389,Danilo,BRA,Juventus,Serie A,Defence,middle_age
1390,Danilo,BRA,Juventus,Serie A,Defence,middle_age
1391,Danilo,BRA,Juventus,Serie A,Defence,middle_age
1392,Danilo,BRA,Juventus,Serie A,Defence,middle_age
1393,Danilo,BRA,Nott'ham Forest,Premier League,Midfield,young
1394,Danilo,BRA,Nott'ham Forest,Premier League,Midfield,young
1395,Danilo,BRA,Nott'ham Forest,Premier League,Midfield,young
1396,Danilo,BRA,Nott'ham Forest,Premier League,Midfield,young
1397,Hirving Lozano,MEX,Napoli,Serie A,Forward,middle_age
1398,Chris Smalling,ENG,Roma,Serie A,Defence,seniors
1399,Henrikh Mkhitaryan,ARM,Inter,Serie A,Midfield,seniors
1400,Luis Alberto,ESP,Lazio,Serie A,Midfield,middle_age
1401,Federico Fazio,ARG,Salernitana,Serie A,Defence,seniors
1402,Nicolò Zaniolo,ITA,Roma,Serie A,Midfield,young
1403,Robin Gosens,GER,Inter,Serie A,Defence,middle_age
1404,Samir Handanović,SVN,Inter,Serie A,Goalkeeper,seniors
1405,Sandro Tonali,ITA,Milan,Serie A,Midfield,young
1406,Tiemoué Bakayoko,FRA,Milan,Serie A,Midfield,middle_age
1407,Giacomo Raspadori,ITA,Napoli,Serie A,Forward,young
1408,Giacomo Raspadori,ITA,Napoli,Serie A,Forward,young
1409,Giacomo Raspadori,ITA,Napoli,Serie A,Forward,young
1410,Giacomo Raspadori,ITA,Napoli,Serie A,Forward,young
1411,Kim Min-jae,KOR,Napoli,Serie A,Defence,young
1412,Ante Rebić,CRO,Milan,Serie A,Forward,middle_age
1413,Fikayo Tomori,ENG,Milan,Serie A,Defence,young
1414,Olivier Giroud,FRA,Milan,Serie A,Forward,seniors
1415,Arkadiusz Milik,POL,Juventus,Serie A,Forward,middle_age
1416,Andrea Belotti,ITA,Roma,Serie A,Forward,middle_age
1417,Andrea Pinamonti,ITA,Sassuolo,Serie A,Forward,young
1418,Giovanni Di Lorenzo,ITA,Napoli,Serie A,Defence,middle_age
1419,Matteo Darmian,ITA,Inter,Serie A,Defence,seniors
1420,Rick Karsdorp,NED,Roma,Serie A,Defence,middle_age
1421,Matteo Politano,ITA,Napoli,Serie A,Forward,middle_age
1422,Mário Rui,POR,Napoli,Serie A,Defence,middle_age
1423,Krzysztof Piątek,POL,Salernitana,Serie A,Forward,middle_age
1424,Rui Patrício,POR,Roma,Serie A,Goalkeeper,seniors
1425,André Onana,CMR,Inter,Serie A,Goalkeeper,middle_age
1426,Aaron Ramsey,WAL,Juventus,Serie A,Midfield,middle_age
1427,Moise Kean,ITA,Juventus,Serie A,Forward,young
1428,Stefano Sensi,ITA,Monza,Serie A,Midfield,middle_age
1429,Viktor Kovalenko,UKR,Spezia,Serie A,Midfield,middle_age
1430,Elseid Hysaj,ALB,Lazio,Serie A,Defence,middle_age
1431,Mattia Zaccagni,ITA,Lazio,Serie A,Forward,middle_age
1432,Andrea Conti,ITA,Sampdoria,Serie A,Defence,middle_age
1433,Merih Demiral,TUR,Atalanta,Serie A,Defence,young
1434,Danilo D'Ambrosio,ITA,Inter,Serie A,Defence,seniors
1435,Alessandro Florenzi,ITA,Milan,Serie A,Defence,middle_age
1436,Davide Calabria,ITA,Milan,Serie A,Defence,young
1437,Mike Maignan,FRA,Milan,Serie A,Goalkeeper,middle_age
1438,Matías Vecino,URU,Lazio,Serie A,Midfield,middle_age
1439,Marko Arnautović,AUT,Bologna,Serie A,Forward,seniors
1440,Andre-Frank Zambo Anguissa,CMR,Napoli,Serie A,Midfield,middle_age
1441,Andrea Petagna,ITA,Monza,Serie A,Forward,middle_age
1442,Duván Zapata,COL,Atalanta,Serie A,Forward,middle_age
1443,Bryan Cristante,ITA,Roma,Serie A,Midfield,middle_age
1444,Marash Kumbulla,ALB,Roma,Serie A,Defence,young
1445,Giovanni Simeone,ARG,Napoli,Serie A,Forward,middle_age
1446,Nikola Vlašić,CRO,Torino,Serie A,Midfield,young
1447,Luka Jović,SRB,Fiorentina,Serie A,Forward,young
1448,Pedro,ESP,Lazio,Serie A,Forward,seniors
1449,Denzel Dumfries,NED,Inter,Serie A,Defence,middle_age
1450,Arthur Melo,BRA,Juventus,Serie A,Midfield,middle_age
1451,Arthur Melo,BRA,Liverpool,Premier League,Midfield,young
1452,Filip Kostić,SRB,Juventus,Serie A,Defence,middle_age
1453,Filip Kostić,SRB,Juventus,Serie A,Defence,middle_age
1454,Filip Kostić,SRB,Juventus,Serie A,Defence,middle_age
1455,Filip Kostić,SRB,Juventus,Serie A,Defence,middle_age
1456,Weston McKennie,USA,Juventus,Serie A,Midfield,young
1457,Weston McKennie,USA,Juventus,Serie A,Midfield,young
1458,Weston McKennie,USA,Juventus,Serie A,Midfield,young
1459,Weston McKennie,USA,Juventus,Serie A,Midfield,young
1460,Weston McKennie,USA,Leeds United,Premier League,Midfield,young
1461,Weston McKennie,USA,Leeds United,Premier League,Midfield,young
1462,Weston McKennie,USA,Leeds United,Premier League,Midfield,young
1463,Weston McKennie,USA,Leeds United,Premier League,Midfield,young
1464,Diego Demme,GER,Napoli,Serie A,Midfield,middle_age
1465,Tanguy Ndombele,FRA,Napoli,Serie A,Midfield,young
1466,Simone Verdi,ITA,Hellas Verona,Serie A,Midfield,middle_age
1467,Armando Izzo,ITA,Monza,Serie A,Defence,middle_age
1468,Manuel Lazzari,ITA,Lazio,Serie A,Defence,middle_age
1469,Antonio Sanabria,PAR,Torino,Serie A,Forward,middle_age
1470,Rolando Mandragora,ITA,Fiorentina,Serie A,Midfield,young
1471,Juan Musso,ARG,Atalanta,Serie A,Goalkeeper,middle_age
1472,Federico Dimarco,ITA,Inter,Serie A,Defence,young
1473,Felipe Anderson,BRA,Lazio,Serie A,Forward,middle_age
1474,Charles De Ketelaere,BEL,Milan,Serie A,Midfield,young
1475,Aleksei Miranchuk,RUS,Torino,Serie A,Midfield,middle_age
1476,Ricardo Rodríguez,SUI,Torino,Serie A,Defence,middle_age
1477,Antonín Barák,CZE,Fiorentina,Serie A,Midfield,middle_age
1478,Antonín Barák,CZE,Fiorentina,Serie A,Midfield,middle_age
1479,Antonín Barák,CZE,Fiorentina,Serie A,Midfield,middle_age
1480,Antonín Barák,CZE,Fiorentina,Serie A,Midfield,middle_age
1481,Giacomo Bonaventura,ITA,Fiorentina,Serie A,Midfield,seniors
1482,Jeremie Boga,CIV,Atalanta,Serie A,Midfield,young
1483,Mattia Destro,ITA,Empoli,Serie A,Forward,middle_age
1484,Francesco Acerbi,ITA,Inter,Serie A,Defence,seniors
1485,Roberto Gagliardini,ITA,Inter,Serie A,Midfield,middle_age
1486,Ismaël Bennacer,ALG,Milan,Serie A,Midfield,young
1487,Rade Krunić,BIH,Milan,Serie A,Midfield,middle_age
1488,Mattia De Sciglio,ITA,Juventus,Serie A,Defence,middle_age
1489,Mattia Perin,ITA,Juventus,Serie A,Goalkeeper,middle_age
1490,Alex Meret,ITA,Napoli,Serie A,Goalkeeper,young
1491,Karol Linetty,POL,Torino,Serie A,Midfield,middle_age
1492,Gaetano Castrovilli,ITA,Fiorentina,Serie A,Midfield,young
1493,Danilo Cataldi,ITA,Lazio,Serie A,Midfield,middle_age
1494,Marlon,BRA,Monza,Serie A,Defence,middle_age
1495,Éderson,BRA,Atalanta,Serie A,Midfield,young
1496,Zeki Çelik,TUR,Roma,Serie A,Defence,young
1497,Pierre Kalulu,FRA,Milan,Serie A,Defence,young
1498,Marin Pongračić,CRO,Lecce,Serie A,Defence,young
1499,Alfred Duncan,GHA,Fiorentina,Serie A,Midfield,middle_age
1500,Marco Benassi,ITA,Fiorentina,Serie A,Defence,middle_age
1501,Marco Benassi,ITA,Fiorentina,Serie A,Defence,middle_age
1502,Marco Benassi,ITA,Fiorentina,Serie A,Defence,middle_age
1503,Marco Benassi,ITA,Fiorentina,Serie A,Defence,middle_age
1504,Sebastiano Luperto,ITA,Empoli,Serie A,Defence,young
1505,Antonio Candreva,ITA,Salernitana,Serie A,Midfield,seniors
1506,Florian Thauvin,FRA,Udinese,Serie A,Forward,middle_age
1507,Ademola Lookman,NGA,Atalanta,Serie A,Forward,young
1508,Luis Muriel,COL,Atalanta,Serie A,Forward,middle_age
1509,Amir Rrahmani,KVX,Napoli,Serie A,Defence,middle_age
1510,Christian Kouamé,CIV,Fiorentina,Serie A,Forward,young
1511,Cristiano Biraghi,ITA,Fiorentina,Serie A,Defence,middle_age
1512,Mohamed Fares,ALG,Lazio,Serie A,Defence,middle_age
1513,Patric,ESP,Lazio,Serie A,Defence,middle_age
1514,Ștefan Radu,ROU,Lazio,Serie A,Forward,seniors
1515,Federico Bonazzoli,ITA,Salernitana,Serie A,Forward,young
1516,Dalbert Henrique,BRA,Inter,Serie A,Defence,middle_age
1517,Juan Jesus,BRA,Napoli,Serie A,Defence,middle_age
1518,Arthur Cabral,BRA,Fiorentina,Serie A,Forward,young
1519,Jonathan Ikone,FRA,Fiorentina,Serie A,Forward,young
1520,Nicola Sansone,ITA,Bologna,Serie A,Forward,middle_age
1521,Roberto Soriano,ITA,Bologna,Serie A,Forward,middle_age
1522,Stanislav Lobotka,SVK,Napoli,Serie A,Midfield,middle_age
1523,Riccardo Orsolini,ITA,Bologna,Serie A,Forward,young
1524,Soualiho Meïté,FRA,Cremonese,Serie A,Midfield,middle_age
1525,Valentino Lazaro,AUT,Torino,Serie A,Defence,middle_age
1526,Gary Medel,CHI,Bologna,Serie A,Midfield,seniors
1527,Dodô,BRA,Fiorentina,Serie A,Defence,young
1528,Sofyan Amrabat,MAR,Fiorentina,Serie A,Midfield,young
1529,Eldor Shomurodov,UZB,Spezia,Serie A,Forward,middle_age
1530,Eldor Shomurodov,UZB,Spezia,Serie A,Forward,middle_age
1531,Eldor Shomurodov,UZB,Spezia,Serie A,Forward,middle_age
1532,Eldor Shomurodov,UZB,Spezia,Serie A,Forward,middle_age
1533,Teun Koopmeiners,NED,Atalanta,Serie A,Midfield,young
1534,Junior Sambia,FRA,Salernitana,Serie A,Defence,young
1535,Roger Ibanez,BRA,Roma,Serie A,Defence,young
1536,Aster Vranckx,BEL,Milan,Serie A,Midfield,young
1537,Aster Vranckx,BEL,Milan,Serie A,Midfield,young
1538,Aster Vranckx,BEL,Milan,Serie A,Midfield,young
1539,Aster Vranckx,BEL,Milan,Serie A,Midfield,young
1540,Brahim Díaz,MAR,Milan,Serie A,Midfield,young
1541,Simon Kjær,DEN,Milan,Serie A,Defence,seniors
1542,Zlatan Ibrahimović,SWE,Milan,Serie A,Forward,seniors
1543,Elif Elmas,MKD,Napoli,Serie A,Forward,young
1544,Mathías Olivera,URU,Napoli,Serie A,Defence,young
1545,Marco Silvestri,ITA,Udinese,Serie A,Goalkeeper,middle_age
1546,Etrit Berisha,ALB,Torino,Serie A,Goalkeeper,seniors
1547,Ola Aina,NGA,Torino,Serie A,Defence,young
1548,Samuele Ricci,ITA,Torino,Serie A,Midfield,young
1549,Yann Karamoh,FRA,Torino,Serie A,Midfield,young
1550,Andrea Cambiaso,ITA,Bologna,Serie A,Defence,young
1551,Kevin Bonifazi,ITA,Bologna,Serie A,Defence,middle_age
1552,Alessio Cragno,ITA,Monza,Serie A,Goalkeeper,middle_age
1553,Nicolò Rovella,ITA,Monza,Serie A,Midfield,young
1554,Nicolò Rovella,ITA,Monza,Serie A,Midfield,young
1555,Nicolò Rovella,ITA,Monza,Serie A,Midfield,young
1556,Nicolò Rovella,ITA,Monza,Serie A,Midfield,young
1557,Ivan Provedel,ITA,Lazio,Serie A,Goalkeeper,middle_age
1558,Matteo Cancellieri,ITA,Lazio,Serie A,Forward,young
1559,Nicolò Casale,ITA,Lazio,Serie A,Defence,young
1560,Mario Pašalić,CRO,Atalanta,Serie A,Midfield,middle_age
1561,Marten de Roon,NED,Atalanta,Serie A,Midfield,middle_age
1562,Rafael Tolói,ITA,Atalanta,Serie A,Defence,middle_age
1563,Ionuț Radu,ROU,Cremonese,Serie A,Goalkeeper,young
1564,Lorenzo Tonelli,ITA,Empoli,Serie A,Defence,seniors
1565,Giulio Maggiore,ITA,Salernitana,Serie A,Midfield,young
1566,Junior Messias,BRA,Milan,Serie A,Defence,middle_age
1567,Tommaso Pobega,ITA,Milan,Serie A,Midfield,young
1568,Federico Gatti,ITA,Juventus,Serie A,Defence,young
1569,Nicolò Fagioli,ITA,Juventus,Serie A,Midfield,young
1570,Andrea Consigli,ITA,Sassuolo,Serie A,Goalkeeper,seniors
1571,Perr Schuurs,NED,Torino,Serie A,Defence,young
1572,Toma Bašić,CRO,Lazio,Serie A,Midfield,young
1573,Boulaye Dia,SEN,Salernitana,Serie A,Forward,young
1574,Rafael Leão,POR,Milan,Serie A,Forward,young
1575,Omar Colley,GAM,Sampdoria,Serie A,Defence,middle_age
1576,Lorenzo De Silvestri,ITA,Bologna,Serie A,Defence,seniors
1577,Łukasz Skorupski,POL,Bologna,Serie A,Goalkeeper,middle_age
1578,Gianluca Caprari,ITA,Monza,Serie A,Midfield,middle_age
1579,Dimitris Nikolaou,GRE,Spezia,Serie A,Defence,young
1580,Adam Marušić,MNE,Lazio,Serie A,Defence,middle_age
1581,Davide Zappacosta,ITA,Atalanta,Serie A,Defence,middle_age
1582,Alberto Grassi,ITA,Empoli,Serie A,Midfield,middle_age
1583,Ardian Ismajli,ALB,Empoli,Serie A,Defence,young
1584,Nicolas Haas,SUI,Empoli,Serie A,Midfield,middle_age
1585,Luigi Sepe,ITA,Salernitana,Serie A,Goalkeeper,middle_age
1586,Raoul Bellanova,ITA,Inter,Serie A,Defence,young
1587,Diego Llorente,ESP,Roma,Serie A,Defence,middle_age
1588,Diego Llorente,ESP,Roma,Serie A,Defence,middle_age
1589,Diego Llorente,ESP,Roma,Serie A,Defence,middle_age
1590,Diego Llorente,ESP,Roma,Serie A,Defence,middle_age
1591,Diego Llorente,ESP,Leeds United,Premier League,Defence,middle_age
1592,Diego Llorente,ESP,Leeds United,Premier League,Defence,middle_age
1593,Diego Llorente,ESP,Leeds United,Premier League,Defence,middle_age
1594,Diego Llorente,ESP,Leeds United,Premier League,Defence,middle_age
1595,Santiago Ascacíbar,ARG,Cremonese,Serie A,Midfield,young
1596,William Troost-Ekong,NGA,Salernitana,Serie A,Defence,middle_age
1597,Grégoire Defrel,MTQ,Sassuolo,Serie A,Forward,middle_age
1598,Nedim Bajrami,ALB,Empoli,Serie A,Midfield,young
1599,Nedim Bajrami,ALB,Empoli,Serie A,Midfield,young
1600,Nedim Bajrami,ALB,Empoli,Serie A,Midfield,young
1601,Nedim Bajrami,ALB,Empoli,Serie A,Midfield,young
1602,Ante Ćorić,CRO,Roma,Serie A,Midfield,young
1603,Mady Camara,Unknown,Roma,Serie A,Midfield,young
1604,Matías Viña,URU,Roma,Serie A,Defence,young
1605,Matías Viña,URU,Roma,Serie A,Defence,young
1606,Matías Viña,URU,Roma,Serie A,Defence,young
1607,Matías Viña,URU,Roma,Serie A,Defence,young
1608,Matías Viña,URU,Bournemouth,Premier League,Defence,young
1609,Matías Viña,URU,Bournemouth,Premier League,Defence,young
1610,Matías Viña,URU,Bournemouth,Premier League,Defence,young
1611,Matías Viña,URU,Bournemouth,Premier League,Defence,young
1612,Kristjan Asllani,ALB,Inter,Serie A,Midfield,young
1613,Ciprian Tătărușanu,ROU,Milan,Serie A,Goalkeeper,seniors
1614,Kaio Jorge,BRA,Juventus,Serie A,Forward,young
1615,Khvicha Kvaratskhelia,GEO,Napoli,Serie A,Forward,young
1616,Leo Skiri Østigård,NOR,Napoli,Serie A,Defence,young
1617,Musa Barrow,GAM,Bologna,Serie A,Forward,young
1618,Matteo Pessina,ITA,Monza,Serie A,Midfield,young
1619,Pierluigi Gollini,ITA,Fiorentina,Serie A,Goalkeeper,middle_age
1620,Pierluigi Gollini,ITA,Fiorentina,Serie A,Goalkeeper,middle_age
1621,Pierluigi Gollini,ITA,Fiorentina,Serie A,Goalkeeper,middle_age
1622,Pierluigi Gollini,ITA,Fiorentina,Serie A,Goalkeeper,middle_age
1623,Pietro Terracciano,ITA,Fiorentina,Serie A,Goalkeeper,seniors
1624,Albin Ekdal,SWE,Spezia,Serie A,Midfield,seniors
1625,Emil Audero,ITA,Sampdoria,Serie A,Goalkeeper,young
1626,Filip Đuričić,SRB,Sampdoria,Serie A,Midfield,middle_age
1627,Francesco Caputo,ITA,Sampdoria,Serie A,Forward,seniors
1628,Francesco Caputo,ITA,Sampdoria,Serie A,Forward,seniors
1629,Francesco Caputo,ITA,Sampdoria,Serie A,Forward,seniors
1630,Francesco Caputo,ITA,Sampdoria,Serie A,Forward,seniors
1631,Berat Djimsiti,ALB,Atalanta,Serie A,Defence,middle_age
1632,Hans Hateboer,NED,Atalanta,Serie A,Defence,middle_age
1633,José Luis Palomino,ARG,Atalanta,Serie A,Defence,seniors
1634,Liam Henderson,SCO,Empoli,Serie A,Midfield,middle_age
1635,Marko Pjaca,CRO,Empoli,Serie A,Midfield,middle_age
1636,Guillermo Ochoa,MEX,Salernitana,Serie A,Goalkeeper,seniors
1637,Matteo Gabbia,ITA,Milan,Serie A,Defence,young
1638,Jeison Murillo,COL,Sampdoria,Serie A,Defence,middle_age
1639,Manolo Gabbiadini,ITA,Sampdoria,Serie A,Forward,middle_age
1640,Adama Soumaoro,FRA,Bologna,Serie A,Defence,middle_age
1641,Federico Di Francesco,ITA,Lecce,Serie A,Forward,middle_age
1642,Ilija Nestorovski,MKD,Udinese,Serie A,Forward,seniors
1643,Mato Jajalo,BIH,Udinese,Serie A,Midfield,seniors
1644,Kevin Lasagna,ITA,Hellas Verona,Serie A,Forward,middle_age
1645,Saša Lukić,SRB,Torino,Serie A,Midfield,young
1646,Saša Lukić,SRB,Torino,Serie A,Midfield,young
1647,Saša Lukić,SRB,Torino,Serie A,Midfield,young
1648,Saša Lukić,SRB,Torino,Serie A,Midfield,young
1649,Saša Lukić,SRB,Fulham,Premier League,Midfield,young
1650,Saša Lukić,SRB,Fulham,Premier League,Midfield,young
1651,Saša Lukić,SRB,Fulham,Premier League,Midfield,young
1652,Saša Lukić,SRB,Fulham,Premier League,Midfield,young
1653,Francesco Bardi,ITA,Bologna,Serie A,Goalkeeper,middle_age
1654,Salvatore Sirigu,ITA,Fiorentina,Serie A,Goalkeeper,seniors
1655,Youssef Maleh,MAR,Fiorentina,Serie A,Midfield,young
1656,Youssef Maleh,MAR,Fiorentina,Serie A,Midfield,young
1657,Youssef Maleh,MAR,Fiorentina,Serie A,Midfield,young
1658,Youssef Maleh,MAR,Fiorentina,Serie A,Midfield,young
1659,Bartłomiej Drągowski,POL,Spezia,Serie A,Goalkeeper,young
1660,Emmanuel Gyasi,GHA,Spezia,Serie A,Defence,middle_age
1661,Nicola Murru,ITA,Sampdoria,Serie A,Defence,middle_age
1662,Tomás Rincón,VEN,Sampdoria,Serie A,Midfield,seniors
1663,Valerio Verre,ITA,Sampdoria,Serie A,Midfield,middle_age
1664,Vlad Chiricheș,ROU,Cremonese,Serie A,Defence,seniors
1665,Antonio Mirante,ITA,Milan,Serie A,Goalkeeper,seniors
1666,Davide Frattesi,ITA,Sassuolo,Serie A,Midfield,young
1667,Rogério,BRA,Sassuolo,Serie A,Defence,young
1668,Gerard Deulofeu,ESP,Udinese,Serie A,Forward,middle_age
1669,Roberto Pereyra,ARG,Udinese,Serie A,Defence,middle_age
1670,Pietro Pellegri,ITA,Torino,Serie A,Forward,young
1671,Lucas Martínez Quarta,ARG,Fiorentina,Serie A,Defence,middle_age
1672,Riccardo Saponara,ITA,Fiorentina,Serie A,Forward,middle_age
1673,Jeroen Zoet,NED,Spezia,Serie A,Goalkeeper,middle_age
1674,Luís Maximiano,POR,Lazio,Serie A,Goalkeeper,young
1675,Joakim Mæhle,DEN,Atalanta,Serie A,Defence,young
1676,Ruslan Malinovskyi,UKR,Atalanta,Serie A,Midfield,middle_age
1677,Răzvan Marin,ROU,Empoli,Serie A,Midfield,middle_age
1678,Domagoj Bradarić,CRO,Salernitana,Serie A,Defence,young
1679,Mile Svilar,SRB,Roma,Serie A,Goalkeeper,young
1680,Alexis Saelemaekers,BEL,Milan,Serie A,Defence,young
1681,Fodé Ballo-Touré,SEN,Milan,Serie A,Defence,young
1682,Agustín Álvarez Martínez,URU,Sassuolo,Serie A,Forward,young
1683,Assan Ceesay,GAM,Lecce,Serie A,Forward,middle_age
1684,Luca Caldirola,ITA,Monza,Serie A,Defence,middle_age
1685,Patrick Ciurria,ITA,Monza,Serie A,Defence,middle_age
1686,Nikola Moro,CRO,Bologna,Serie A,Midfield,young
1687,Adolfo Gaich,ARG,Hellas Verona,Serie A,Forward,young
1688,Harry Winks,ENG,Sampdoria,Serie A,Midfield,middle_age
1689,Mattia Caldara,ITA,Spezia,Serie A,Defence,middle_age
1690,Adam Masina,MAR,Udinese,Serie A,Defence,middle_age
1691,Joshua Zirkzee,NED,Bologna,Serie A,Forward,young
1692,Arkadiusz Reca,POL,Spezia,Serie A,Defence,middle_age
1693,Marcos Antônio,BRA,Lazio,Serie A,Midfield,young
1694,Cyriel Dessers,NGA,Cremonese,Serie A,Forward,middle_age
1695,Dylan Bronn,TUN,Salernitana,Serie A,Defence,middle_age
1696,Armand Lauriente,FRA,Sassuolo,Serie A,Forward,young
1697,Christian Gytkjær,DEN,Monza,Serie A,Forward,seniors
1698,Bram Nuytinck,NED,Udinese,Serie A,Defence,seniors
1699,Bram Nuytinck,NED,Udinese,Serie A,Defence,seniors
1700,Bram Nuytinck,NED,Udinese,Serie A,Defence,seniors
1701,Bram Nuytinck,NED,Udinese,Serie A,Defence,seniors
1702,Darko Lazović,SRB,Hellas Verona,Serie A,Midfield,middle_age
1703,Giangiacomo Magnani,ITA,Hellas Verona,Serie A,Defence,middle_age
1704,Koray Günter,GER,Hellas Verona,Serie A,Defence,middle_age
1705,Koray Günter,GER,Hellas Verona,Serie A,Defence,middle_age
1706,Koray Günter,GER,Hellas Verona,Serie A,Defence,middle_age
1707,Koray Günter,GER,Hellas Verona,Serie A,Defence,middle_age
1708,Ronaldo Vieira,ENG,Torino,Serie A,Midfield,young
1709,Ronaldo Vieira,ENG,Torino,Serie A,Midfield,young
1710,Ronaldo Vieira,ENG,Torino,Serie A,Midfield,young
1711,Ronaldo Vieira,ENG,Torino,Serie A,Midfield,young
1712,Luca Ranieri,ITA,Fiorentina,Serie A,Defence,young
1713,Riccardo Sottil,ITA,Fiorentina,Serie A,Forward,young
1714,Mehdi Bourabia,MAR,Spezia,Serie A,Midfield,middle_age
1715,Marco Sportiello,ITA,Atalanta,Serie A,Goalkeeper,middle_age
1716,Filippo Bandinelli,ITA,Empoli,Serie A,Midfield,middle_age
1717,Guglielmo Vicario,ITA,Empoli,Serie A,Goalkeeper,young
1718,Ivan Radovanović,SRB,Salernitana,Serie A,Midfield,seniors
1719,Leonardo Capezzi,ITA,Salernitana,Serie A,Midfield,middle_age
1720,Gian Marco Ferrari,ITA,Sassuolo,Serie A,Defence,middle_age
1721,Pedro Obiang,EQG,Sassuolo,Serie A,Midfield,middle_age
1722,Luca Marrone,ITA,Monza,Serie A,Defence,seniors
1723,Caleb Okoli,ITA,Atalanta,Serie A,Defence,young
1724,Enzo Ebosse,CMR,Udinese,Serie A,Defence,young
1725,Jaka Bijol,SVN,Udinese,Serie A,Defence,young
1726,Walace,BRA,Udinese,Serie A,Midfield,middle_age
1727,Thomas Henry,FRA,Hellas Verona,Serie A,Forward,middle_age
1728,Nemanja Radonjić,SRB,Torino,Serie A,Midfield,middle_age
1729,Sam Lammers,NED,Sampdoria,Serie A,Forward,young
1730,Sam Lammers,NED,Sampdoria,Serie A,Forward,young
1731,Sam Lammers,NED,Sampdoria,Serie A,Forward,young
1732,Sam Lammers,NED,Sampdoria,Serie A,Forward,young
1733,Malick Thiaw,GER,Milan,Serie A,Defence,young
1734,Malick Thiaw,GER,Milan,Serie A,Defence,young
1735,Malick Thiaw,GER,Milan,Serie A,Defence,young
1736,Malick Thiaw,GER,Milan,Serie A,Defence,young
1737,Yacine Adli,FRA,Milan,Serie A,Midfield,young
1738,M'Bala Nzola,ANG,Spezia,Serie A,Forward,young
1739,Stefan Posch,AUT,Bologna,Serie A,Defence,young
1740,Stefan Posch,AUT,Bologna,Serie A,Defence,young
1741,Stefan Posch,AUT,Bologna,Serie A,Defence,young
1742,Stefan Posch,AUT,Bologna,Serie A,Defence,young
1743,Emil Bohinen,NOR,Salernitana,Serie A,Midfield,young
1744,Jhon Lucumí,COL,Bologna,Serie A,Defence,young
1745,Antonino Gallo,ITA,Lecce,Serie A,Defence,young
1746,Remi Oudin,FRA,Lecce,Serie A,Forward,young
1747,Davide Faraoni,ITA,Hellas Verona,Serie A,Defence,middle_age
1748,Federico Ceccherini,ITA,Hellas Verona,Serie A,Defence,middle_age
1749,Miguel Veloso,POR,Hellas Verona,Serie A,Midfield,seniors
1750,Charalambos Lykogiannis,GRE,Bologna,Serie A,Defence,middle_age
1751,Andrea Carboni,ITA,Monza,Serie A,Defence,young
1752,Szymon Żurkowski,POL,Fiorentina,Serie A,Midfield,young
1753,Szymon Żurkowski,POL,Fiorentina,Serie A,Midfield,young
1754,Szymon Żurkowski,POL,Fiorentina,Serie A,Midfield,young
