,player,country_of_origin,team,league,position,age_category
1044,Martin Hongla,CMR,Hellas Verona,Serie A,Midfield,young
1045,Martin Hongla,CMR,Hellas Verona,Serie A,Midfield,young
1046,Martin Hongla,CMR,Hellas Verona,Serie A,Midfield,young
1047,Martin Hongla,CMR,Hellas Verona,Serie A,Midfield,young
1048,Valentín Castellanos,ARG,Girona,La Liga,Forward,young
1049,Mikel Balenziaga,ESP,Athletic Club,La Liga,Defence,seniors
1050,Ronaël Pierre-Gabriel,FRA,Espanyol,La Liga,Defence,young
1051,Andoni Gorosabel,ESP,Real Sociedad,La Liga,Defence,young
1052,Joseba Zaldúa,ESP,Cádiz,La Liga,Defence,middle_age
1053,Fran Beltrán,ESP,Celta Vigo,La Liga,Midfield,young
1054,Rui Silva,POR,Betis,La Liga,Goalkeeper,middle_age
1055,Víctor Camarasa,ESP,Betis,La Liga,Midfield,middle_age
1056,Ander Guevara,ESP,Real Sociedad,La Liga,Midfield,young
1057,Enes Ünal,TUR,Getafe,La Liga,Forward,young
1058,Paulo Gazzaniga,ARG,Girona,La Liga,Goalkeeper,middle_age
1059,Ivo Grbić,CRO,Atlético Madrid,La Liga,Goalkeeper,middle_age
1060,Aihen Muñoz,ESP,Real Sociedad,La Liga,Defence,young
1061,Fernando Pacheco,ESP,Almería,La Liga,Goalkeeper,middle_age
1062,Fernando Pacheco,ESP,Almería,La Liga,Goalkeeper,middle_age
1063,Fernando Pacheco,ESP,Almería,La Liga,Goalkeeper,middle_age
1064,Fernando Pacheco,ESP,Almería,La Liga,Goalkeeper,middle_age
1065,Francisco Portillo,ESP,Almería,La Liga,Midfield,seniors
1066,Youssouf Sabaly,SEN,Betis,La Liga,Defence,middle_age
1067,Predrag Rajković,SRB,Mallorca,La Liga,Goalkeeper,middle_age
1068,Leandro Cabrera,URU,Espanyol,La Liga,Defence,middle_age
1069,Tomás Alarcón,CHI,Cádiz,La Liga,Midfield,young
1070,Iddrisu Baba,GHA,Mallorca,La Liga,Midfield,middle_age
