,age,annual_wages_eur,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,touches,att_pen,att,succ,carries,totdist,mis,dis,rec,position_defence,position_forward,position_goalkeeper,position_midfield
663,34.0,24000000.0,24.0,24.0,24.0,22.6,19.0,3.0,22.0,12.0,7.0,8.0,1.0,0.0,21.5,14.9,5.8,20.7,72.0,138.0,157.0,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.2,0.66,0.91,1284.0,175.0,44.0,20.0,796.0,3734.0,32.0,28.0,1092.0,0.0,1.0,0.0,0.0
664,34.0,24000000.0,30.0,30.0,30.0,26.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,2.8,3.3,26.0,254.0,32.0,0.0,0.15,0.15,0.0,0.15,0.02,0.11,0.13,0.02,0.13,2172.0,14.0,16.0,11.0,1279.0,5074.0,19.0,12.0,1551.0,0.0,0.0,0.0,1.0
665,30.0,22500000.0,23.0,23.0,23.0,20.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.1,1.9,16.0,67.0,60.0,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09,1293.0,22.0,4.0,3.0,779.0,3566.0,7.0,5.0,938.0,1.0,0.0,0.0,0.0
666,36.0,21880000.0,33.0,33.0,33.0,19.4,4.0,3.0,7.0,3.0,1.0,1.0,7.0,0.0,4.2,3.4,4.5,8.0,50.0,182.0,87.0,0.21,0.15,0.36,0.15,0.31,0.22,0.23,0.45,0.18,0.41,1681.0,47.0,47.0,19.0,1132.0,5681.0,31.0,19.0,1361.0,0.0,0.0,0.0,1.0
667,22.0,20830000.0,33.0,33.0,33.0,31.4,10.0,9.0,19.0,10.0,0.0,0.0,10.0,1.0,10.5,10.5,9.4,19.9,221.0,87.0,495.0,0.32,0.29,0.61,0.32,0.61,0.34,0.3,0.63,0.34,0.63,1707.0,260.0,306.0,112.0,1357.0,10854.0,103.0,61.0,1460.0,0.0,1.0,0.0,0.0
668,29.0,20830000.0,28.0,28.0,28.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,0.0,1.0,1.0,416.0,2241.0,0.0,0.0,345.0,0.0,0.0,1.0,0.0
669,33.0,20830000.0,34.0,34.0,34.0,31.6,23.0,7.0,30.0,23.0,0.0,1.0,4.0,1.0,24.3,23.5,6.3,29.8,52.0,100.0,248.0,0.73,0.22,0.95,0.73,0.95,0.77,0.2,0.97,0.74,0.94,1155.0,210.0,59.0,30.0,781.0,3757.0,94.0,50.0,998.0,0.0,1.0,0.0,0.0
670,30.0,16000000.0,33.0,33.0,33.0,28.3,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.7,2.4,15.0,175.0,37.0,0.0,0.11,0.11,0.0,0.11,0.03,0.06,0.09,0.03,0.09,2244.0,21.0,22.0,13.0,1246.0,4448.0,21.0,18.0,1736.0,0.0,0.0,0.0,1.0
671,30.0,15000000.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1209.0,0.0,2.0,2.0,824.0,4223.0,2.0,0.0,704.0,0.0,0.0,1.0,0.0
672,29.0,14580000.0,33.0,33.0,33.0,26.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.1,1.9,21.0,59.0,10.0,0.04,0.0,0.04,0.04,0.04,0.07,0.0,0.07,0.07,0.07,1814.0,25.0,4.0,3.0,1216.0,5991.0,8.0,2.0,1339.0,1.0,0.0,0.0,0.0
673,22.0,14580000.0,14.0,14.0,14.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,322.0,21.0,24.0,6.0,211.0,1078.0,20.0,12.0,260.0,0.0,1.0,0.0,0.0
674,22.0,14580000.0,14.0,14.0,14.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,497.0,46.0,60.0,22.0,326.0,2092.0,22.0,8.0,399.0,0.0,1.0,0.0,0.0
675,22.0,14580000.0,16.0,16.0,16.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,322.0,21.0,24.0,6.0,211.0,1078.0,20.0,12.0,260.0,0.0,1.0,0.0,0.0
676,22.0,14580000.0,16.0,16.0,16.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,497.0,46.0,60.0,22.0,326.0,2092.0,22.0,8.0,399.0,0.0,1.0,0.0,0.0
677,22.0,11863800.0,14.0,14.0,14.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,322.0,21.0,24.0,6.0,211.0,1078.0,20.0,12.0,260.0,0.0,1.0,0.0,0.0
678,22.0,11863800.0,14.0,14.0,14.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,497.0,46.0,60.0,22.0,326.0,2092.0,22.0,8.0,399.0,0.0,1.0,0.0,0.0
679,22.0,11863800.0,16.0,16.0,16.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,322.0,21.0,24.0,6.0,211.0,1078.0,20.0,12.0,260.0,0.0,1.0,0.0,0.0
680,22.0,11863800.0,16.0,16.0,16.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,497.0,46.0,60.0,22.0,326.0,2092.0,22.0,8.0,399.0,0.0,1.0,0.0,0.0
681,19.0,13950000.0,36.0,36.0,36.0,15.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,1.7,10.7,47.0,48.0,178.0,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,805.0,128.0,47.0,23.0,556.0,2983.0,35.0,30.0,639.0,0.0,1.0,0.0,0.0
682,23.0,13550000.0,29.0,29.0,29.0,27.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,2.8,3.9,58.0,185.0,61.0,0.04,0.11,0.15,0.04,0.15,0.04,0.1,0.15,0.04,0.15,2234.0,45.0,28.0,15.0,1477.0,7400.0,23.0,18.0,1611.0,1.0,0.0,0.0,0.0
683,22.0,12500000.0,33.0,33.0,33.0,23.5,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,2.2,4.0,41.0,142.0,23.0,0.0,0.17,0.17,0.0,0.17,0.08,0.09,0.17,0.08,0.17,1990.0,29.0,39.0,28.0,1291.0,6841.0,24.0,12.0,1533.0,0.0,0.0,0.0,1.0
684,31.0,12500000.0,38.0,38.0,38.0,31.8,15.0,16.0,31.0,15.0,0.0,0.0,2.0,0.0,12.3,12.3,13.8,26.1,99.0,171.0,202.0,0.47,0.5,0.98,0.47,0.98,0.39,0.44,0.82,0.39,0.82,1971.0,153.0,83.0,47.0,1104.0,5999.0,41.0,35.0,1445.0,0.0,1.0,0.0,0.0
685,25.0,12500000.0,36.0,36.0,36.0,23.0,7.0,7.0,14.0,7.0,0.0,0.0,9.0,0.0,9.3,9.3,9.8,19.1,97.0,104.0,339.0,0.3,0.3,0.61,0.3,0.61,0.41,0.43,0.83,0.41,0.83,1596.0,131.0,106.0,45.0,999.0,5616.0,55.0,24.0,1148.0,0.0,1.0,0.0,0.0
686,27.0,12000000.0,31.0,31.0,31.0,12.2,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,2.4,2.4,0.7,3.0,12.0,34.0,47.0,0.25,0.08,0.33,0.25,0.33,0.2,0.05,0.25,0.2,0.25,695.0,31.0,14.0,12.0,301.0,1438.0,22.0,6.0,447.0,0.0,0.0,0.0,1.0
687,25.0,12000000.0,25.0,25.0,25.0,15.7,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,3.9,3.9,4.9,8.8,124.0,74.0,209.0,0.32,0.45,0.77,0.32,0.77,0.25,0.31,0.56,0.25,0.56,1041.0,103.0,114.0,52.0,755.0,6024.0,27.0,18.0,841.0,0.0,1.0,0.0,0.0
688,28.0,11400000.0,36.0,36.0,36.0,31.5,10.0,3.0,13.0,9.0,1.0,2.0,2.0,0.0,10.7,9.1,4.8,13.9,127.0,61.0,341.0,0.32,0.1,0.41,0.29,0.38,0.34,0.15,0.49,0.29,0.44,1182.0,181.0,105.0,47.0,756.0,5180.0,73.0,42.0,915.0,0.0,1.0,0.0,0.0
689,33.0,10560000.0,24.0,24.0,24.0,15.8,2.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,0.8,0.8,6.2,7.0,42.0,141.0,157.0,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44,1558.0,39.0,8.0,4.0,957.0,3881.0,7.0,7.0,1121.0,1.0,0.0,0.0,0.0
690,30.0,10420000.0,27.0,27.0,27.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,2.0,2.8,22.0,58.0,147.0,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.14,0.04,0.14,1512.0,39.0,17.0,9.0,864.0,3105.0,23.0,7.0,1049.0,1.0,0.0,0.0,0.0
691,27.0,10420000.0,18.0,18.0,18.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.9,23.0,56.0,73.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,971.0,8.0,29.0,19.0,591.0,3059.0,20.0,17.0,697.0,1.0,0.0,0.0,0.0
692,22.0,10000000.0,33.0,33.0,33.0,15.5,4.0,2.0,6.0,4.0,0.0,1.0,5.0,1.0,4.9,4.1,4.1,8.2,43.0,44.0,180.0,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,756.0,87.0,68.0,30.0,489.0,2748.0,48.0,23.0,598.0,0.0,1.0,0.0,0.0
693,26.0,9830000.0,31.0,31.0,31.0,16.0,9.0,6.0,15.0,9.0,0.0,1.0,1.0,0.0,6.3,5.5,4.9,10.4,56.0,70.0,108.0,0.56,0.37,0.94,0.56,0.94,0.39,0.3,0.7,0.35,0.65,951.0,71.0,33.0,23.0,609.0,3688.0,19.0,13.0,725.0,0.0,1.0,0.0,0.0
694,29.0,9800000.0,36.0,36.0,36.0,21.1,13.0,2.0,15.0,13.0,0.0,0.0,4.0,0.0,11.9,11.9,2.0,13.8,33.0,17.0,102.0,0.62,0.09,0.71,0.62,0.71,0.56,0.09,0.66,0.56,0.66,655.0,105.0,41.0,20.0,387.0,2142.0,55.0,24.0,527.0,0.0,1.0,0.0,0.0
695,31.0,9380000.0,23.0,23.0,23.0,12.7,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.9,1.9,1.6,3.5,31.0,50.0,145.0,0.31,0.08,0.39,0.31,0.39,0.15,0.13,0.28,0.15,0.28,1059.0,46.0,25.0,14.0,672.0,3060.0,20.0,7.0,771.0,1.0,0.0,0.0,0.0
696,19.0,9380000.0,26.0,26.0,26.0,22.0,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.9,4.9,5.0,9.9,67.0,184.0,99.0,0.27,0.05,0.32,0.27,0.32,0.22,0.23,0.45,0.22,0.45,1652.0,58.0,61.0,36.0,1202.0,6987.0,32.0,31.0,1334.0,0.0,0.0,0.0,1.0
697,26.0,9000000.0,23.0,23.0,23.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,1652.0,13.0,2.0,0.0,1170.0,5841.0,10.0,1.0,1257.0,1.0,0.0,0.0,0.0
698,25.0,9000000.0,28.0,28.0,28.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,0.7,2.5,14.0,39.0,43.0,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23,575.0,25.0,18.0,9.0,349.0,1732.0,23.0,10.0,426.0,0.0,0.0,0.0,1.0
699,30.0,9000000.0,38.0,38.0,38.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1457.0,0.0,0.0,0.0,963.0,4887.0,1.0,1.0,851.0,0.0,0.0,1.0,0.0
700,31.0,8870000.0,15.0,15.0,15.0,14.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,11.0,60.0,4.0,0.07,0.0,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08,914.0,15.0,0.0,0.0,495.0,3173.0,4.0,2.0,529.0,1.0,0.0,0.0,0.0
701,28.0,8750000.0,8.0,8.0,8.0,3.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,0.5,3.4,4.0,8.0,22.0,1.33,0.0,1.33,1.33,1.33,0.99,0.16,1.14,0.99,1.14,139.0,27.0,11.0,4.0,87.0,368.0,16.0,9.0,122.0,0.0,1.0,0.0,0.0
702,28.0,8750000.0,8.0,8.0,8.0,3.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,0.5,3.4,4.0,8.0,22.0,1.33,0.0,1.33,1.33,1.33,0.99,0.16,1.14,0.99,1.14,84.0,13.0,7.0,3.0,50.0,233.0,7.0,4.0,69.0,0.0,1.0,0.0,0.0
703,28.0,8750000.0,2.0,2.0,2.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,2.0,7.0,19.0,0.79,0.0,0.79,0.79,0.79,0.68,0.11,0.79,0.68,0.79,139.0,27.0,11.0,4.0,87.0,368.0,16.0,9.0,122.0,0.0,1.0,0.0,0.0
704,28.0,8750000.0,2.0,2.0,2.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,2.0,7.0,19.0,0.79,0.0,0.79,0.79,0.79,0.68,0.11,0.79,0.68,0.79,84.0,13.0,7.0,3.0,50.0,233.0,7.0,4.0,69.0,0.0,1.0,0.0,0.0
705,32.0,8540000.0,27.0,27.0,27.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,0.9,1.7,18.0,75.0,34.0,0.05,0.05,0.11,0.05,0.11,0.04,0.05,0.09,0.04,0.09,1327.0,19.0,17.0,11.0,762.0,3224.0,15.0,9.0,937.0,1.0,0.0,0.0,0.0
706,19.0,8330000.0,37.0,37.0,37.0,22.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,1.5,2.3,69.0,165.0,99.0,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.1,0.04,0.1,1770.0,39.0,71.0,38.0,1162.0,6589.0,39.0,28.0,1326.0,0.0,0.0,0.0,1.0
707,28.0,8330000.0,9.0,9.0,9.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.4,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.32,0.25,0.57,0.32,0.57,52.0,8.0,1.0,0.0,31.0,186.0,2.0,3.0,42.0,0.0,1.0,0.0,0.0
708,21.0,8330000.0,34.0,34.0,34.0,26.4,9.0,8.0,17.0,8.0,1.0,1.0,4.0,0.0,13.7,12.9,7.0,19.9,146.0,81.0,268.0,0.34,0.3,0.64,0.3,0.61,0.52,0.26,0.78,0.49,0.75,1400.0,204.0,169.0,81.0,1035.0,6613.0,64.0,30.0,1198.0,0.0,1.0,0.0,0.0
709,33.0,8330000.0,33.0,33.0,33.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.6,1.2,6.0,82.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,1521.0,18.0,7.0,6.0,949.0,4096.0,8.0,3.0,1059.0,1.0,0.0,0.0,0.0
710,24.0,8130000.0,34.0,34.0,34.0,27.8,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,4.3,4.3,6.3,10.6,70.0,151.0,135.0,0.25,0.14,0.4,0.25,0.4,0.15,0.23,0.38,0.15,0.38,1870.0,54.0,44.0,31.0,1190.0,6633.0,21.0,7.0,1485.0,0.0,0.0,0.0,1.0
711,33.0,7560000.0,3.0,3.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,149.0,2.0,2.0,1.0,102.0,581.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0
712,33.0,7560000.0,3.0,3.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,798.0,36.0,18.0,14.0,391.0,2137.0,12.0,4.0,386.0,1.0,0.0,0.0,0.0
713,33.0,7560000.0,16.0,16.0,16.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13,149.0,2.0,2.0,1.0,102.0,581.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0
714,33.0,7560000.0,16.0,16.0,16.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13,798.0,36.0,18.0,14.0,391.0,2137.0,12.0,4.0,386.0,1.0,0.0,0.0,0.0
715,33.0,4867200.0,3.0,3.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,149.0,2.0,2.0,1.0,102.0,581.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0
716,33.0,4867200.0,3.0,3.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,798.0,36.0,18.0,14.0,391.0,2137.0,12.0,4.0,386.0,1.0,0.0,0.0,0.0
717,33.0,4867200.0,16.0,16.0,16.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13,149.0,2.0,2.0,1.0,102.0,581.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0
718,33.0,4867200.0,16.0,16.0,16.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13,798.0,36.0,18.0,14.0,391.0,2137.0,12.0,4.0,386.0,1.0,0.0,0.0,0.0
