Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Arijon Ibrahimović,1,0,14,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,0,2,0,0,0,0,0,3.31,0.37,3.68,3.31,3.68
Marcus Ingvartsen,28,16,1314,14.6,10,0,10,6,4,4,2,0,8.4,5.2,0.7,5.9,16,30,81,0.68,0,0.68,0.41,0.41,0.57,0.05,0.62,0.36,0.41
Ko Itakura,24,22,1981,22,0,2,2,0,0,0,1,2,0.6,0.6,0.4,1,19,59,4,0,0.09,0.09,0,0.09,0.03,0.02,0.05,0.03,0.05
Hiroki Ito,30,29,2561,28.5,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,29,158,29,0.04,0.04,0.07,0.04,0.07,0.03,0.07,0.1,0.03,0.1
Andreas Ivan,1,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.08,0,0.08,0.08,0.08
Lee Jae-sung,34,24,1894,21,7,5,12,7,0,0,2,0,4.3,4.3,2.8,7.1,29,69,103,0.33,0.24,0.57,0.33,0.57,0.2,0.13,0.34,0.2,0.34
Paul Jaeckel,16,13,1196,13.3,1,0,1,1,0,0,4,1,0.1,0.1,0,0.2,6,41,8,0.08,0,0.08,0.08,0.08,0.01,0,0.01,0.01,0.01
Kristijan Jakić,24,17,1460,16.2,1,0,1,1,0,0,4,0,0.7,0.7,0.7,1.5,16,59,19,0.06,0,0.06,0.06,0.06,0.05,0.05,0.09,0.05,0.09
Saidy Janko,20,12,1134,12.6,0,0,0,0,0,0,1,0,0,0,0.1,0.2,23,29,27,0,0,0,0,0,0,0.01,0.01,0,0.01
Tony Jantschke,8,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Fredrik Jensen,20,8,924,10.3,2,1,3,2,0,0,1,0,1.8,1.8,1.4,3.2,3,24,62,0.19,0.1,0.29,0.19,0.29,0.17,0.13,0.31,0.17,0.31
Moritz Jenz,11,11,945,10.5,0,0,0,0,0,0,5,0,1,1,0,1.1,6,18,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1
Stevan Jovetić,17,8,892,9.9,4,2,6,4,0,0,0,0,2.7,2.7,1.1,3.8,14,40,44,0.4,0.2,0.61,0.4,0.61,0.28,0.11,0.38,0.28,0.38
Anthony Jung,34,32,2617,29.1,2,5,7,2,0,0,2,0,1.3,1.3,1.6,2.9,28,73,109,0.07,0.17,0.24,0.07,0.24,0.04,0.06,0.1,0.04,0.1
Josip Juranović,12,10,935,10.4,2,1,3,1,1,1,0,0,1.6,0.8,1.5,2.3,11,27,33,0.19,0.1,0.29,0.1,0.19,0.15,0.14,0.3,0.08,0.22
Ozan Kabak,30,28,2388,26.5,2,2,4,2,0,0,12,2,1.3,1.3,1.3,2.6,23,76,13,0.08,0.08,0.15,0.08,0.15,0.05,0.05,0.1,0.05,0.1
Pavel Kadeřábek,26,17,1665,18.5,1,1,2,1,0,0,1,0,1.3,1.3,1.7,3.1,30,61,114,0.05,0.05,0.11,0.05,0.11,0.07,0.09,0.17,0.07,0.17
Florian Kainz,32,31,2344,26,6,10,16,3,3,3,6,1,6,3.6,8.7,12.3,64,159,147,0.23,0.38,0.61,0.12,0.5,0.23,0.33,0.56,0.14,0.47
Sasa Kalajdzic,3,3,233,2.6,0,3,3,0,0,0,1,0,0.5,0.5,0.6,1.1,0,4,13,0,1.16,1.16,0,1.16,0.19,0.24,0.44,0.19,0.44
Daichi Kamada,32,25,2265,25.2,9,6,15,6,3,3,3,0,9.9,7.5,3.4,10.9,47,160,105,0.36,0.24,0.6,0.24,0.48,0.39,0.14,0.53,0.3,0.44
Jakub Kamiński,31,25,2058,22.9,4,2,6,4,0,0,0,0,5,4.8,3.7,8.5,47,78,171,0.17,0.09,0.26,0.17,0.26,0.22,0.16,0.38,0.21,0.37
Marcin Kamiński,8,7,632,7,2,0,2,2,0,0,0,0,0.4,0.4,0.1,0.5,2,25,3,0.28,0,0.28,0.28,0.28,0.06,0.02,0.07,0.06,0.07
Kevin Kampl,30,16,1372,15.2,2,2,4,2,0,0,8,0,1.1,1.1,1,2.2,23,80,15,0.13,0.13,0.26,0.13,0.26,0.07,0.07,0.14,0.07,0.14
Wilfried Kanga,23,15,1417,15.7,2,0,2,2,0,0,3,0,3.3,3.3,1.5,4.8,11,12,72,0.13,0,0.13,0.13,0.13,0.21,0.09,0.31,0.21,0.31
Kenan Karaman,21,10,976,10.8,1,2,3,1,0,0,2,0,2.5,2.5,1.4,3.8,23,18,55,0.09,0.18,0.28,0.09,0.28,0.23,0.13,0.35,0.23,0.35
Atakan Karazor,29,22,1962,21.8,0,1,1,0,0,0,10,0,0.3,0.3,0.6,0.9,5,79,12,0,0.05,0.05,0,0.05,0.01,0.03,0.04,0.01,0.04
Thomas Kastanaras,4,1,72,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,1,2,6,0,0,0,0,0,0.32,0.08,0.4,0.32,0.4
Silas Katompa,30,23,1992,22.1,5,2,7,4,1,1,4,0,6.5,5.7,1.9,7.6,71,40,165,0.23,0.09,0.32,0.18,0.27,0.29,0.09,0.38,0.26,0.34
Yannik Keitel,22,8,682,7.6,0,2,2,0,0,0,4,0,0.2,0.2,0.1,0.3,12,26,16,0,0.26,0.26,0,0.26,0.02,0.02,0.04,0.02,0.04
Marc-Oliver Kempf,31,31,2709,30.1,1,0,1,1,0,0,5,0,1.5,1.5,1.1,2.7,11,81,1,0.03,0,0.03,0.03,0.03,0.05,0.04,0.09,0.05,0.09
Jonjoe Kenny,29,25,2244,24.9,0,1,1,0,0,0,3,0,0.3,0.3,2.1,2.4,30,98,59,0,0.04,0.04,0,0.04,0.01,0.09,0.1,0.01,0.1
Rani Khedira,33,33,2882,32,2,0,2,2,0,0,8,0,1.7,1.7,0.7,2.3,14,69,26,0.06,0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07
Luca Kilian,16,13,1123,12.5,1,0,1,1,0,0,5,2,1.1,1.1,0.2,1.3,14,53,4,0.08,0,0.08,0.08,0.08,0.09,0.01,0.1,0.09,0.1
Joshua Kimmich,33,32,2809,31.2,5,6,11,4,1,1,6,1,2.2,1.4,7,8.4,42,315,56,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.3,0.05,0.27
