Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Veit Stange,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josip Stanišić,14,4,579,6.4,0,0,0,0,0,0,1,0,0,0,0.4,0.4,12,66,35,0,0,0,0,0,0,0.07,0.07,0,0.07
Niklas Stark,27,23,2077,23.1,0,0,0,0,0,0,9,0,0.2,0.2,0.3,0.5,9,65,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Pascal Stenzel,12,3,333,3.7,0,1,1,0,0,0,0,0,0,0,0.6,0.6,3,13,5,0,0.27,0.27,0,0.27,0.01,0.16,0.17,0.01,0.17
Angelo Stiller,20,6,704,7.8,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.8,4,34,16,0.13,0.13,0.26,0.13,0.26,0.04,0.06,0.1,0.04,0.1
Lars Stindl,29,20,1734,19.3,8,7,15,8,0,0,9,0,5,5,6.2,11.2,22,77,89,0.42,0.36,0.78,0.42,0.78,0.26,0.32,0.58,0.26,0.58
Kevin Stöger,32,29,2599,28.9,5,3,8,2,3,3,3,0,4.4,2.1,5.7,7.7,43,214,98,0.17,0.1,0.28,0.07,0.17,0.15,0.2,0.35,0.07,0.27
Niklas Süle,29,23,2118,23.5,2,3,5,2,0,0,2,0,2.2,2.2,2.2,4.4,37,137,57,0.08,0.13,0.21,0.08,0.21,0.09,0.09,0.19,0.09,0.19
Ivan Šunjić,18,12,993,11,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.8,6,30,6,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07
Mattias Svanberg,32,21,1835,20.4,4,6,10,4,0,0,4,0,4.4,4.4,5,9.4,29,74,85,0.2,0.29,0.49,0.2,0.49,0.22,0.25,0.46,0.22,0.46
Dominik Szoboszlai,31,28,2444,27.2,6,8,14,5,1,1,5,2,5.5,4.7,8.1,12.9,75,151,157,0.22,0.29,0.52,0.18,0.48,0.2,0.3,0.5,0.17,0.47
Alexander Sørloth,1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jonathan Tah,33,28,2487,27.6,1,0,1,1,0,0,6,0,1.1,1.1,0.5,1.5,8,56,4,0.04,0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06
Edmond Tapsoba,33,32,2871,31.9,1,0,1,0,1,2,5,0,2.8,1.2,1,2.2,40,169,10,0.03,0,0.03,0,0,0.09,0.03,0.12,0.04,0.07
Niklas Tauer,3,0,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,6,4,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Mathys Tel,22,1,417,4.6,5,0,5,5,0,0,2,0,2.7,2.7,0.7,3.3,12,11,59,1.08,0,1.08,1.08,1.08,0.58,0.14,0.72,0.58,0.72
Semir Telalovic,3,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,0.74
Simon Terodde,32,21,1823,20.3,5,0,5,5,0,1,5,0,6.3,5.5,2.3,7.9,5,19,68,0.25,0,0.25,0.25,0.25,0.31,0.12,0.43,0.27,0.39
Malick Thiaw,3,3,270,3,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,1,3,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08
Jan Thielmann,23,6,869,9.7,2,2,4,2,0,0,5,0,1.1,1.1,0.9,1.9,27,19,66,0.21,0.21,0.41,0.21,0.41,0.11,0.09,0.2,0.11,0.2
Morten Thorsby,24,8,833,9.3,1,1,2,1,0,0,3,0,0.8,0.8,0.5,1.3,0,15,21,0.11,0.11,0.22,0.11,0.22,0.09,0.05,0.14,0.09,0.14
Marcus Thuram,30,28,2513,27.9,13,6,19,13,0,0,3,0,16.5,16.5,5.2,21.8,75,46,170,0.47,0.21,0.68,0.47,0.68,0.59,0.19,0.78,0.59,0.78
Steffen Tigges,30,17,1596,17.7,6,1,7,6,0,0,1,0,5,5,1.9,6.9,20,31,81,0.34,0.06,0.39,0.34,0.39,0.28,0.11,0.39,0.28,0.39
Umut Tohumcu,8,2,271,3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,7,4,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08
Tiago Tomás,27,16,1291,14.3,3,3,6,3,0,0,2,0,2.9,2.9,3.6,6.5,31,25,95,0.21,0.21,0.42,0.21,0.42,0.2,0.25,0.45,0.2,0.45
Almamy Touré,7,5,398,4.4,0,1,1,0,0,0,1,0,0.5,0.5,0.6,1.1,2,17,8,0,0.23,0.23,0,0.23,0.12,0.14,0.25,0.12,0.25
Lucas Tousart,33,33,2944,32.7,5,2,7,5,0,0,1,0,3.6,3.6,2,5.5,37,93,79,0.15,0.06,0.21,0.15,0.21,0.11,0.06,0.17,0.11,0.17
Kevin Trapp,33,33,2970,33,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Trimmel,25,20,1811,20.1,0,6,6,0,0,0,1,0,0.7,0.7,3.2,4,34,65,80,0,0.3,0.3,0,0.3,0.04,0.16,0.2,0.04,0.2
Tuta,31,30,2718,30.2,2,1,3,2,0,0,8,0,2.3,2.3,0.8,3.1,23,107,17,0.07,0.03,0.1,0.07,0.1,0.08,0.03,0.1,0.08,0.1
Sven Ulreich,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauren Ulrich,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dayot Upamecano,29,27,2348,26.1,0,1,1,0,0,0,6,1,0.7,0.7,0.3,1,31,169,7,0,0.04,0.04,0,0.04,0.03,0.01,0.04,0.03,0.04
Filip Uremović,22,21,1726,19.2,0,0,0,0,0,0,8,1,0.9,0.9,0.4,1.2,3,17,1,0,0,0,0,0,0.05,0.02,0.06,0.05,0.06
Jere Uronen,11,9,676,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.9,1,9,30,17,0,0,0,0,0,0.01,0.12,0.13,0.01,0.13
Mark Uth,3,0,46,0.5,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,1,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14
Josha Vagnoman,23,16,1479,16.4,2,2,4,2,0,0,3,1,2.9,2.9,1.6,4.5,27,43,93,0.12,0.12,0.24,0.12,0.24,0.18,0.1,0.28,0.18,0.28
Ruben Vargas,23,13,1130,12.6,3,4,7,3,0,0,4,0,1.2,1.2,2.2,3.4,32,42,68,0.24,0.32,0.56,0.24,0.56,0.09,0.18,0.27,0.09,0.27
Renato Veiga,13,7,639,7.1,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,11,14,6,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05
Miloš Veljković,29,25,2266,25.2,1,2,3,1,0,0,2,0,0.5,0.5,0.7,1.2,5,81,3,0.04,0.08,0.12,0.04,0.12,0.02,0.03,0.05,0.02,0.05
Micky van de Ven,33,33,2970,33,1,1,2,1,0,0,5,0,1.3,1.3,1.4,2.8,43,111,23,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08
Gabriel Vidovic,1,0,19,0.2,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,1,2,0,4.74,4.74,0,4.74,0,0.39,0.39,0,0.39
Kevin Vogt,22,22,1775,19.7,0,0,0,0,0,0,8,0,0,0,0.4,0.4,16,104,3,0,0,0,0,0,0,0.02,0.02,0,0.02
Aster Vranckx,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Wagner,4,0,38,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,0,2,0,0,0,0,0,0.54,0,0.54,0.54,0.54
Luca Waldschmidt,18,4,523,5.8,4,0,4,3,1,1,0,0,3.5,1.9,0,1.9,5,12,26,0.69,0,0.69,0.52,0.52,0.6,0.01,0.6,0.32,0.33
Paul Wanner,2,0,25,0.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,1,4,0,0,0,0,0,0,0.25,0.25,0,0.25
Julian Weigl,23,21,1894,21,1,0,1,0,1,1,6,0,1.1,0.3,0.6,0.8,7,82,7,0.05,0,0.05,0,0,0.05,0.03,0.08,0.01,0.04
Nelson Weiper,9,0,99,1.1,2,0,2,2,0,0,0,0,1.7,1.7,0.1,1.8,5,1,19,1.82,0,1.82,1.82,1.82,1.52,0.13,1.65,1.52,1.65
Mitchell Weiser,30,29,2516,28,2,9,11,2,0,0,7,0,2.6,2.6,5.6,8.2,62,120,169,0.07,0.32,0.39,0.07,0.39,0.09,0.2,0.29,0.09,0.29
Noah Weißhaupt,18,3,427,4.7,0,1,1,0,0,0,0,0,0.2,0.2,1,1.2,14,14,31,0,0.21,0.21,0,0.21,0.03,0.21,0.24,0.03,0.24
Marcel Wenig,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Werner,27,23,1937,21.5,9,3,12,9,0,0,2,0,9.1,9.1,3.1,12.2,65,51,209,0.42,0.14,0.56,0.42,0.56,0.42,0.15,0.57,0.42,0.57
Silvan Widmer,26,19,1688,18.8,2,2,4,2,0,0,0,0,2.5,2.5,2,4.5,14,54,91,0.11,0.11,0.21,0.11,0.21,0.13,0.11,0.24,0.13,0.24
Patrick Wimmer,26,23,1648,18.3,4,8,12,4,0,0,7,0,4.4,4.4,5,9.3,42,64,133,0.22,0.44,0.66,0.22,0.66,0.24,0.27,0.51,0.24,0.51
Jonas Wind,24,15,1291,14.3,6,0,6,6,0,1,1,0,5.2,4.4,1.3,5.8,7,41,89,0.42,0,0.42,0.42,0.42,0.36,0.09,0.46,0.31,0.4
Frederik Winther,1,1,90,1,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,1,1,0,1,0,0.1,0.1,0,0.1
Florian Wirtz,17,11,1090,12.1,1,6,7,1,0,0,4,0,0.8,0.8,3.9,4.7,36,80,86,0.08,0.5,0.58,0.08,0.58,0.06,0.32,0.39,0.06,0.39
Hannes Wolf,18,4,449,5,1,1,2,1,0,0,0,0,1.4,1.4,0.3,1.7,12,13,37,0.2,0.2,0.4,0.2,0.4,0.29,0.05,0.34,0.29,0.34
Marius Wolf,25,17,1570,17.4,1,1,2,1,0,0,2,0,1.2,1.2,2.9,4,60,91,151,0.06,0.06,0.11,0.06,0.11,0.07,0.16,0.23,0.07,0.23
Jeong Woo-yeong,26,4,653,7.3,1,1,2,1,0,0,2,0,2.1,2.1,1.2,3.3,18,19,36,0.14,0.14,0.28,0.14,0.28,0.29,0.17,0.46,0.29,0.46
Kelvin Yeboah,13,3,353,3.9,1,1,2,1,0,0,0,0,1.4,1.4,0.4,1.8,13,6,25,0.25,0.25,0.51,0.25,0.51,0.36,0.1,0.46,0.36,0.46
Maya Yoshida,29,28,2553,28.4,0,0,0,0,0,0,4,0,1,1,0.1,1.1,7,85,4,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Dan-Axel Zagadou,17,14,1271,14.1,0,0,0,0,0,0,3,0,1.7,1.7,0.6,2.2,3,44,0,0,0,0,0,0,0.12,0.04,0.16,0.12,0.16
Rodrigo Zalazar,22,15,1321,14.7,1,6,7,1,0,0,4,0,3.1,3.1,4.5,7.5,26,34,47,0.07,0.41,0.48,0.07,0.48,0.21,0.31,0.51,0.21,0.51
Aaron Zehnter,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Zentner,26,26,2340,26,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,6,1,0,0,0,0,0,0,0,0,0,0
Michael Zetterer,2,1,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Zoller,27,19,1457,16.2,3,2,5,3,0,0,5,0,4.1,4.1,1.1,5.2,10,21,61,0.19,0.12,0.31,0.19,0.31,0.26,0.07,0.32,0.26,0.32
Abner,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0,0,0,0,0,0.25,0.02,0.27,0.25,0.27
Álvaro Aceves,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Acuña,30,21,1912,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26
Julen Agirrezabala,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álvaro Aguado,34,18,1888,21,1,2,3,1,0,0,4,0,1,1,2.2,3.2,29,139,50,0.05,0.1,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15
Joseph Aidoo,35,35,3119,34.7,3,0,3,3,0,0,6,1,1,1,0.1,1.1,15,95,2,0.09,0,0.09,0.09,0.09,0.03,0,0.03,0.03,0.03
Sergio Akieme,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2,3.5,60,58,84,0.04,0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
Babatunde Akinsola,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Paul Akouokou,12,3,447,5,0,0,0,0,0,0,3,0,0.2,0.2,0,0.2,1,10,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03
David Alaba,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09
Ángel Alarcón,4,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,
Tomás Alarcón,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0.1,0.1,2,9,6,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
Jordi Alba,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44
Raúl Albiol,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0,0.1,12,100,3,0,0,0,0,0,0,0,0.01,0,0.01
Rubén Alcaraz,31,22,2043,22.7,3,0,3,1,2,3,11,1,4,1.6,1.3,2.9,30,105,20,0.13,0,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13
Omar Alderete,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06
Iván Alejo,31,13,1311,14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103,0,0.07,0.07,0,0.07,0.08,0.17,0.25,0.08,0.25
Carles Aleñá,35,26,2119,23.5,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24,87,78,0.08,0.08,0.17,0.08,0.17,0.1,0.07,0.17,0.1,0.17
Alejandro Alfaro,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ángel Algobia,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07
Mohamed Ali Cho,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.7,3.4,30,8,63,0.15,0.31,0.46,0.15,0.46,0.27,0.25,0.52,0.27,0.52
Domingos André Ribeiro Almeida,34,29,2539,28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.07,0.14,0.21,0.07,0.21,0.05,0.12,0.17,0.05,0.17
Marcos Alonso,24,11,1172,13,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.08,0,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09
Carlos Álvarez,1,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gastón Álvarez,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27,0.12,0,0.12,0.12,0.12,0.03,0.01,0.05,0.03,0.05
Yeray Álvarez,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
Selim Amallah,7,3,267,3,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9,0.67,0.34,1.01,0.67,1.01,0.29,0.09,0.38,0.29,0.38
Amath,28,12,1227,13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69,0.15,0,0.15,0.15,0.15,0.2,0.06,0.25,0.2,0.25
Jordan Amavi,5,1,200,2.2,0,0,0,0,0,0,2,1,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0
Marcos André,17,3,447,5,1,0,1,1,0,0,2,1,1.5,1.3,0.4,1.8,2,7,20,0.2,0,0.2,0.2,0.2,0.29,0.09,0.38,0.27,0.36
Fabrizio Angileri,15,7,585,6.5,0,0,0,0,0,0,2,1,0.1,0.1,0,0.1,4,16,14,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Josep Antoni Gayá,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Antonio,2,0,46,0.5,0,1,1,0,0,0,0,0,0,0,0,0,2,3,2,0,1.96,1.96,0,1.96,0,0.03,0.03,0,0.03
Anuar,3,3,210,2.3,1,0,1,1,0,0,1,0,0.4,0.4,0.5,0.8,6,3,4,0.43,0,0.43,0.43,0.43,0.15,0.2,0.35,0.15,0.35
Mauro Arambarri,13,13,992,11,0,1,1,0,0,0,5,1,0.2,0.2,1.5,1.8,8,33,7,0,0.09,0.09,0,0.09,0.02,0.14,0.16,0.02,0.16
Ronald Araújo,22,21,1800,20,0,2,2,0,0,0,5,1,2.1,2.1,0.8,2.9,29,79,11,0,0.1,0.1,0,0.1,0.1,0.04,0.15,0.1,0.15
Adu Ares,8,0,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,4,19,0,0,0,0,0,0.11,0.19,0.3,0.11,0.3
Sergio Arribas,2,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,2,0,0,0,0,0,0,0.74,0.14,0.88,0.74,0.88
Roberto Arroyo,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
Ricard Artero,7,0,133,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,4,3,9,0,0,0,0,0,0.35,0,0.35,0.35,0.35
Santiago Arzamendia,12,5,483,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,8,17,22,0,0,0,0,0,0.04,0.09,0.12,0.04,0.12
Sergio Asenjo,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Asensio,31,15,1442,16,9,6,15,9,0,1,1,0,6.3,5.5,4.9,10.4,56,70,108,0.56,0.37,0.94,0.56,0.94,0.39,0.3,0.7,0.35,0.65
Iago Aspas,37,31,2868,31.9,12,3,15,10,2,3,6,0,11,8.7,5.6,14.3,80,162,239,0.38,0.09,0.47,0.31,0.41,0.35,0.18,0.52,0.27,0.45
Pierre-Emerick Aubameyang,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,1.18,0,1.18,1.18,1.18
Ludwig Augustinsson,4,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0.02,0.02,0,0.02
Ezequiel Ávila,29,23,1709,19,8,2,10,6,2,3,7,1,7,4.7,1.8,6.5,23,39,96,0.42,0.11,0.53,0.32,0.42,0.37,0.1,0.47,0.25,0.34
Iddrisu Baba,29,20,1705,18.9,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,3,47,8,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
Srđan Babić,34,33,2998,33.3,3,0,3,3,0,0,5,0,1.2,1.2,0.3,1.5,21,63,5,0.09,0,0.09,0.09,0.09,0.04,0.01,0.04,0.04,0.04
Loïc Bade,19,16,1449,16.1,1,0,1,1,0,0,4,0,0.3,0.3,0.1,0.4,7,42,2,0.06,0,0.06,0.06,0.06,0.02,0.01,0.02,0.02,0.02
Édgar Badía,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Baena,35,19,1947,21.6,6,2,8,6,0,0,13,1,3.9,3.9,5.2,9.1,50,124,110,0.28,0.09,0.37,0.28,0.37,0.18,0.24,0.42,0.18,0.42
Alejandro Balde,33,30,2471,27.5,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,96,79,234,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25
Mikel Balenziaga,3,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Iván Balliu,37,37,3232,35.9,0,0,0,0,0,0,6,0,0.3,0.3,2.8,3.1,75,131,147,0,0,0,0,0,0.01,0.08,0.09,0.01,0.09
Léo Baptistão,28,24,1726,19.2,5,1,6,5,0,0,7,0,4.9,4.9,1.2,6.2,38,51,83,0.26,0.05,0.31,0.26,0.31,0.26,0.06,0.32,0.26,0.32
Keidi Bare,18,4,503,5.6,0,1,1,0,0,0,0,0,0.6,0.6,0.2,0.8,6,28,11,0,0.18,0.18,0,0.18,0.1,0.04,0.14,0.1,0.14
Kike Barja,27,15,1312,14.6,1,6,7,1,0,0,1,0,1.2,1.2,3.9,5.1,61,35,185,0.07,0.41,0.48,0.07,0.48,0.08,0.26,0.35,0.08,0.35
Ander Barrenetxea,23,9,878,9.8,3,1,4,3,0,0,4,0,3,3,1.2,4.2,36,27,72,0.31,0.1,0.41,0.31,0.41,0.31,0.12,0.43,0.31,0.43
Pablo Barrios,21,6,724,8,0,1,1,0,0,0,4,0,0.5,0.5,0.7,1.2,16,51,27,0,0.12,0.12,0,0.12,0.07,0.08,0.15,0.07,0.15
Rodrigo Battaglia,15,8,686,7.6,0,0,0,0,0,0,5,0,0.2,0.2,0,0.2,3,19,3,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
Bebé,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,1,10,0,0,0,0,0,0.12,0.13,0.25,0.12,0.25
Héctor Bellerín,3,1,143,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,13,6,0,0,0,0,0,0,0.06,0.06,0,0.06
Fran Beltrán,36,33,2855,31.7,0,2,2,0,0,0,4,0,0.9,0.9,1.7,2.6,27,138,33,0,0.06,0.06,0,0.06,0.03,0.05,0.08,0.03,0.08
Iker Benito,4,2,176,2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,9,3,15,0,0,0,0,0,0,0.14,0.14,0,0.14
Karim Benzema,24,24,2038,22.6,19,3,22,12,7,8,1,0,21.5,14.9,5.8,20.7,72,138,157,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.2,0.66,0.91
Yuri Berchiche,29,27,2406,26.7,1,1,2,1,0,0,9,1,1.3,1.3,1.4,2.7,59,179,95,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.1,0.05,0.1
Álex Berenguer,37,26,2297,25.5,4,1,5,4,0,0,2,0,4.3,4.3,4.6,9,73,77,249,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35
Pedro Bigas,28,25,2020,22.4,0,0,0,0,0,0,4,2,1.8,1.8,0,1.8,19,83,3,0,0,0,0,0,0.08,0,0.08,0.08,0.08
El Bilal Touré,21,15,1264,14,7,2,9,7,0,0,0,0,6.3,6.3,1.3,7.6,18,14,51,0.5,0.14,0.64,0.5,0.64,0.45,0.09,0.54,0.45,0.54
Antonio Blanco,3,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0.01,0.01,0,0.01
Lautaro Blanco,17,9,872,9.7,0,2,2,0,0,0,2,0,0,0,1.5,1.6,41,28,76,0,0.21,0.21,0,0.21,0,0.16,0.16,0,0.16
Theo Bongonda,31,24,1938,21.5,4,3,7,3,1,1,2,0,5.2,4.4,3,7.4,74,39,105,0.19,0.14,0.33,0.14,0.28,0.24,0.14,0.38,0.2,0.34
Yassine Bounou,25,25,2151,23.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lucas Boyé,35,29,2462,27.4,7,2,9,7,0,1,7,1,8.3,7.5,2.9,10.5,58,63,160,0.26,0.07,0.33,0.26,0.33,0.3,0.11,0.41,0.27,0.38
Martin Braithwaite,31,29,2456,27.3,10,2,12,10,0,0,5,1,9.2,9.2,1.4,10.6,32,54,126,0.37,0.07,0.44,0.37,0.44,0.34,0.05,0.39,0.34,0.39
Juan Brandáriz,21,15,1489,16.5,1,0,1,1,0,0,5,0,0.4,0.4,0.1,0.5,13,32,10,0.06,0,0.06,0.06,0.06,0.02,0,0.03,0.02,0.03
Darko Brašanac,25,9,1041,11.6,1,1,2,1,0,0,5,0,1.2,1.2,0.6,1.8,18,49,36,0.09,0.09,0.17,0.09,0.17,0.1,0.05,0.15,0.1,0.15
Claudio Bravo,12,12,1080,12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ante Budimir,31,22,1798,20,8,0,8,8,0,0,5,0,7.6,7.6,0.7,8.3,23,23,98,0.4,0,0.4,0.4,0.4,0.38,0.03,0.41,0.38,0.41
Santiago Bueno,34,34,3010,33.4,0,1,1,0,0,0,7,1,1.3,1.3,1,2.3,30,148,4,0,0.03,0.03,0,0.03,0.04,0.03,0.07,0.04,0.07
Sergio Busquets,30,28,2339,26,0,4,4,0,0,0,8,1,0.4,0.4,2.8,3.3,26,254,32,0,0.15,0.15,0,0.15,0.02,0.11,0.13,0.02,0.13
Leandro Cabrera,32,31,2669,29.7,0,1,1,0,0,0,10,2,2.3,2.3,1.5,3.7,13,95,8,0,0.03,0.03,0,0.03,0.08,0.05,0.13,0.08,0.13
Cala,3,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Fernando Calero,27,20,1611,17.9,0,1,1,0,0,0,6,0,0.7,0.7,0.6,1.3,9,64,4,0,0.06,0.06,0,0.06,0.04,0.03,0.07,0.04,0.07
Alexander Callens,6,0,120,1.3,0,0,0,0,0,0,1,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0
Eduardo Camavinga,37,21,2010,22.3,0,1,1,0,0,0,6,0,0.8,0.8,1.5,2.3,69,165,99,0,0.04,0.04,0,0.04,0.04,0.07,0.1,0.04,0.1
Sergio Camello,38,27,2401,26.7,6,5,11,6,0,0,1,0,7.3,7.3,2.4,9.6,40,42,122,0.22,0.19,0.41,0.22,0.41,0.27,0.09,0.36,0.27,0.36
